水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.7,8.2,12.21,493.1,23.4,3.08,0.062,0.024,3.97
Ⅱ类,27.3,8.02,7.47,434.8,17.9,3.4,0.05,0.033,3.27
Ⅲ类,27.9,7.48,8.42,766.3,9.7,4.32,0.068,0.08,4.4
劣Ⅵ类,29.6,7.53,4.5,738.3,6.4,7.45,4.311,0.31,7.22
Ⅱ类,26.5,8.14,12.64,805.4,15.0,3.1,0.01,0.07,6.16
Ⅱ类,24.9,8.33,14.42,765.0,21.4,2.2,0.04,0.089,7.28
Ⅱ类,23.3,7.97,10.48,468.6,11.3,3.34,0.058,0.018,3.88
Ⅱ类,30.8,7.87,8.65,804.2,15.6,2.93,0.034,0.07,3.27
Ⅲ类,30.9,8.15,13.91,1096.0,6.4,3.5,0.016,0.137,5.27
Ⅲ类,32.1,8.13,13.08,1229.9,14.3,4.09,0.01,0.132,5.88
Ⅲ类,25.6,7.28,5.45,539.4,23.2,3.62,0.084,0.118,7.61
Ⅱ类,29.0,8.19,9.84,389.9,5.3,2.57,0.068,0.007,3.48
Ⅱ类,27.9,8.42,11.38,417.0,51.6,3.9,0.219,0.052,4.89
Ⅱ类,29.7,8.4,21.74,528.2,7.4,3.15,0.169,0.041,2.92
Ⅴ类,30.4,7.69,2.62,1010.0,16.8,3.47,0.492,0.11,0.96
Ⅲ类,30.6,7.78,6.03,1213.2,26.3,4.54,0.786,0.197,2.62
Ⅳ类,30.4,7.63,3.21,878.2,40.5,3.63,0.862,0.149,2.63
劣Ⅵ类,30.4,7.39,1.03,1044.2,17.2,3.98,0.424,0.089,2.15
Ⅱ类,31.4,7.7,6.89,268.9,1.5,1.45,0.05,0.005,0.87
劣Ⅵ类,26.9,7.42,0.01,870.7,36.3,3.74,1.436,0.14,2.3
Ⅳ类,26.7,7.58,3.51,714.0,69.5,3.69,0.161,0.161,4.05
Ⅲ类,29.7,8.24,9.81,1990.2,19.6,5.44,0.275,0.189,2.69
Ⅲ类,19.2,8.39,6.25,2018.9,32.0,4.02,0.014,0.074,0.92
Ⅳ类,30.1,7.98,6.26,3560.8,1664.8,7.38,0.09,0.182,2.35
Ⅲ类,28.4,8.22,5.47,1571.5,32.8,4.74,0.023,0.127,1.18
Ⅴ类,30.3,7.08,2.64,760.0,49.2,5.19,0.429,0.186,2.34
Ⅳ类,24.7,8.65,13.31,6573.8,101.4,8.32,0.076,0.25,1.35
Ⅲ类,26.8,8.27,9.8,370.0,13.3,5.84,0.101,0.052,3.66
Ⅲ类,24.3,7.78,8.68,744.0,18.3,2.76,0.159,0.153,10.99
Ⅱ类,24.6,7.63,6.79,521.8,41.9,1.87,0.114,0.087,8.35
Ⅱ类,22.5,7.92,6.5,1132.6,40.3,1.35,0.423,0.036,4.99
Ⅰ类,31.1,8.72,8.75,286.0,2.0,1.83,0.023,0.009,0.86
Ⅲ类,30.3,7.94,7.65,582.8,85.6,4.55,0.024,0.108,3.36
Ⅳ类,29.8,7.69,8.16,703.2,21.8,5.56,0.161,0.29,4.95
Ⅱ类,20.1,7.88,8.9,505.0,68.6,3.83,0.034,0.081,5.49
Ⅱ类,32.3,7.01,6.64,45304.4,3.2,2.04,0.073,0.037,1.21
Ⅲ类,31.9,8.46,12.72,921.7,22.2,5.48,0.18,0.077,3.07
劣Ⅵ类,29.0,7.41,2.36,812.8,122.0,11.09,3.425,0.433,14.38
劣Ⅵ类,29.6,7.52,2.78,740.1,104.8,6.51,3.061,0.366,7.17
Ⅳ类,26.4,8.03,8.06,971.7,2862.2,5.3,0.668,0.204,4.39
Ⅳ类,29.4,8.16,7.51,14979.7,113.0,6.12,0.936,0.139,2.87
Ⅳ类,30.5,8.9,10.22,3956.0,31.1,7.8,0.025,0.225,1.29
Ⅳ类,29.7,8.06,13.91,885.6,3.3,8.03,0.004,0.081,0.98
Ⅱ类,27.2,7.75,7.57,522.0,18.3,3.59,0.034,0.073,4.6
Ⅱ类,30.7,7.86,6.33,884.3,21.1,3.69,0.043,0.044,0.49
Ⅳ类,32.8,8.43,20.56,686.9,17.8,4.59,0.417,0.229,3.24
Ⅲ类,31.4,8.71,11.29,834.0,3.9,4.52,0.013,0.077,0.62
Ⅲ类,31.0,8.46,9.57,1593.2,32.1,5.13,0.03,0.028,0.67
Ⅱ类,32.1,8.09,6.61,327.4,3.5,2.22,0.066,0.012,0.75
Ⅳ类,29.5,7.52,4.44,681.9,6.1,4.62,0.014,0.028,0.7
Ⅲ类,24.0,8.32,7.26,1154.2,22.5,4.14,0.227,0.081,1.0
Ⅳ类,26.4,8.75,10.16,753.8,90.3,6.87,0.029,0.141,1.72
劣Ⅵ类,25.1,7.93,4.97,558.5,2120.1,4.13,9.341,0.221,10.52
Ⅱ类,27.0,8.27,8.08,653.1,41.2,2.4,0.0004,0.049,3.41
Ⅲ类,27.2,7.78,5.76,480.0,27.5,3.29,0.013,0.053,1.81
Ⅳ类,23.5,7.64,3.01,668.7,7.1,3.18,0.234,0.029,1.06
Ⅲ类,26.3,8.01,10.15,831.2,99.1,4.72,0.009,0.093,4.02
Ⅱ类,21.6,8.3,8.71,683.7,45.5,2.19,0.028,0.032,4.89
Ⅲ类,25.1,8.34,9.68,708.7,19.7,4.14,0.013,0.102,2.31
Ⅲ类,22.3,8.29,7.37,565.2,29.2,4.66,0.004,0.045,1.48
Ⅴ类,29.8,8.54,15.1,1119.9,80.2,11.76,0.005,0.173,6.14
Ⅲ类,25.5,7.51,13.24,1370.3,21.0,3.96,0.043,0.17,7.68
Ⅳ类,30.5,8.64,6.83,5509.0,364.3,6.49,0.096,0.279,11.25
Ⅴ类,28.4,7.22,2.52,1285.8,45.2,5.1,0.291,0.297,4.88
Ⅲ类,23.1,8.36,7.38,748.2,445.5,4.83,0.014,0.192,4.53
Ⅳ类,29.1,8.51,5.98,786.2,581.2,5.35,0.002,0.233,5.88
Ⅲ类,20.2,8.32,8.03,445.3,333.7,4.63,0.006,0.144,8.36
劣Ⅵ类,21.8,8.29,7.18,535.2,2795.8,9.24,0.019,0.449,9.81
Ⅳ类,29.2,7.72,3.52,988.2,247.1,4.15,0.248,0.071,6.86
Ⅲ类,27.2,8.36,7.14,758.7,736.1,5.54,0.359,0.157,7.34
Ⅲ类,21.2,8.03,6.4,574.1,137.8,2.99,0.025,0.142,3.99
Ⅴ类,25.1,8.3,7.16,611.9,1125.3,4.73,0.017,0.372,3.53
Ⅲ类,26.8,8.3,6.94,683.8,85.3,3.51,0.281,0.156,5.66
Ⅱ类,23.6,8.55,6.71,680.1,737.8,3.91,0.004,0.056,5.77
Ⅱ类,20.5,8.01,8.1,490.3,26.8,2.28,0.084,0.002,2.7
Ⅲ类,28.0,7.86,5.63,709.0,46.0,4.38,0.269,0.146,3.5
Ⅴ类,26.1,8.7,14.5,1070.8,53.2,13.2,0.242,0.315,8.74
Ⅱ类,24.8,8.22,7.34,853.4,75.5,1.34,0.058,0.028,1.34
Ⅳ类,26.2,8.62,7.39,2862.8,43.5,6.09,0.094,0.057,1.25
Ⅱ类,28.0,8.33,7.83,874.2,518.7,2.67,0.221,0.06,0.18
Ⅳ类,25.6,7.18,5.26,824.0,9.4,4.72,1.085,0.184,8.26
Ⅱ类,28.6,7.58,7.33,277.4,5.0,2.15,0.007,0.07,5.75
Ⅲ类,29.3,8.34,11.91,348.5,34.2,4.58,0.024,0.179,1.81
Ⅲ类,28.6,8.36,10.87,534.3,16.5,4.33,0.003,0.096,4.92
Ⅲ类,27.7,7.77,7.05,633.1,3.7,4.23,0.028,0.089,4.78
Ⅰ类,30.1,8.87,12.34,146.5,5.4,1.66,0.0001,0.016,1.6
劣Ⅵ类,27.4,9.21,13.73,283.0,13.1,1.76,0.022,0.024,4.9
Ⅳ类,22.2,7.27,8.38,204.8,65.1,4.02,0.131,0.227,3.51
Ⅱ类,22.7,7.64,8.12,247.1,34.5,2.5,0.027,0.054,8.16
Ⅱ类,18.7,8.04,12.33,260.1,18.4,2.32,0.041,0.045,4.37
Ⅱ类,18.7,7.72,7.72,343.9,27.2,2.54,0.117,0.078,4.92
Ⅱ类,19.3,7.73,9.05,206.7,29.9,2.21,0.02,0.045,4.13
Ⅰ类,24.7,8.24,11.07,229.0,2.8,1.14,0.004,0.01,6.95
Ⅲ类,21.7,7.19,5.72,161.5,8.6,0.97,0.007,0.024,2.88
Ⅱ类,22.6,7.66,11.59,155.6,11.7,1.42,0.066,0.044,4.22
Ⅲ类,27.5,8.0,6.51,664.2,87.8,4.27,0.053,0.165,5.2
Ⅱ类,25.3,8.49,13.5,468.9,9.4,2.97,0.049,0.066,2.0
Ⅲ类,24.9,7.85,7.77,596.7,24.9,3.01,0.125,0.125,4.48
劣Ⅵ类,28.2,9.11,12.25,242.7,6.3,1.5,0.015,0.02,5.21
Ⅴ类,27.6,7.62,2.44,530.4,40.2,6.38,0.199,0.11,4.92
Ⅲ类,21.8,7.35,5.92,354.1,74.0,4.33,0.199,0.158,4.23
Ⅱ类,23.0,8.2,11.91,411.0,8.8,1.19,0.026,0.029,2.84
Ⅱ类,27.1,8.41,8.96,762.7,24.9,2.75,0.001,0.07,8.61
Ⅲ类,24.0,8.15,8.38,844.0,141.7,3.88,0.043,0.135,14.1
Ⅱ类,25.1,8.12,7.66,551.4,67.4,1.2,0.026,0.052,4.84
Ⅲ类,23.9,7.54,8.07,584.6,4.1,2.32,0.049,0.101,8.1
Ⅲ类,28.8,8.04,9.02,923.5,24.5,3.22,0.03,0.186,8.41
Ⅱ类,23.8,8.14,6.51,295.6,34.3,3.26,0.047,0.045,1.5
Ⅲ类,21.0,6.98,8.3,166.6,159.0,5.51,0.27,0.167,4.83
Ⅳ类,19.1,7.18,9.4,164.6,242.6,5.28,0.128,0.202,8.15
Ⅳ类,23.1,6.83,4.84,173.4,162.2,7.05,0.11,0.212,5.21
Ⅳ类,19.7,7.09,9.18,161.2,309.8,5.19,0.115,0.204,7.13
Ⅲ类,23.7,6.76,8.27,138.4,29.1,5.1,0.03,0.118,3.6
Ⅲ类,25.6,7.85,7.75,415.0,112.8,4.28,0.003,0.115,1.67
Ⅱ类,20.3,7.62,9.56,106.2,32.8,2.39,0.015,0.03,2.45
Ⅱ类,16.2,7.77,10.13,97.5,21.1,3.71,0.08,0.074,1.65
Ⅱ类,10.0,7.89,7.54,287.7,13.9,0.86,0.002,0.021,1.96
Ⅲ类,25.2,6.75,7.36,203.8,40.6,4.79,0.113,0.101,3.67
Ⅳ类,26.3,7.19,6.45,122.8,46.0,8.75,0.201,0.117,2.06
Ⅳ类,16.2,7.6,10.24,81.3,33.7,9.37,0.023,0.056,1.34
Ⅲ类,23.3,7.67,7.84,227.1,66.2,3.46,0.022,0.11,2.4
Ⅲ类,21.9,6.9,8.42,104.8,27.8,5.4,0.036,0.079,1.32
Ⅱ类,14.4,7.79,10.14,215.5,20.9,1.1,0.051,0.07,0.76
Ⅳ类,28.5,7.07,6.3,135.5,76.8,7.16,0.061,0.201,2.97
Ⅴ类,26.8,7.11,2.94,195.1,164.3,6.8,0.103,0.195,3.52
Ⅳ类,26.5,7.37,6.83,259.6,160.5,8.54,0.19,0.208,2.69
Ⅳ类,27.6,7.16,3.19,194.5,94.8,5.54,0.12,0.088,6.2
Ⅳ类,23.8,7.33,7.8,98.2,136.2,7.92,0.013,0.079,1.19
Ⅳ类,29.3,6.72,4.82,172.8,239.6,9.04,0.176,0.161,2.11
Ⅲ类,23.9,8.13,12.14,259.1,19.4,5.91,0.024,0.084,1.06
Ⅳ类,28.7,7.13,6.75,96.0,75.2,8.74,0.101,0.155,0.85
