水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.1,7.72,6.65,527.5,14.7,2.98,0.074,0.027,4.65
Ⅲ类,28.0,7.32,5.59,808.1,6.1,4.57,0.606,0.086,4.83
Ⅳ类,26.9,7.33,3.55,726.0,2.7,4.64,0.181,0.127,6.98
Ⅱ类,23.3,8.21,11.47,836.8,3.4,2.51,0.002,0.06,6.69
Ⅱ类,23.0,7.67,6.72,796.5,22.2,2.84,0.068,0.082,7.76
Ⅱ类,23.1,8.13,11.55,457.9,11.5,3.41,0.052,0.014,3.74
Ⅳ类,29.2,7.58,4.59,817.6,25.8,3.03,0.044,0.057,3.09
Ⅴ类,28.7,7.55,2.62,1121.0,6.8,3.54,0.071,0.12,5.6
Ⅳ类,28.6,7.61,3.21,1210.1,14.3,4.07,0.093,0.142,5.7
Ⅳ类,23.7,7.17,4.82,598.8,19.8,2.9,0.072,0.1,9.35
Ⅱ类,27.6,8.13,9.1,389.5,4.2,2.9,0.072,0.011,3.52
Ⅲ类,26.0,8.05,7.2,429.7,70.5,4.55,0.337,0.059,4.94
Ⅱ类,28.0,8.14,11.89,530.4,6.6,3.14,0.219,0.048,2.86
Ⅴ类,29.4,7.75,2.41,1131.2,17.8,3.83,0.573,0.095,1.5
Ⅳ类,28.2,7.51,3.92,1046.7,76.1,4.66,0.497,0.186,2.73
劣Ⅵ类,28.5,7.51,0.6,1053.0,36.0,6.21,3.458,0.411,5.43
劣Ⅵ类,28.9,7.4,1.13,1065.7,29.0,4.27,0.524,0.08,2.65
Ⅱ类,30.1,7.67,6.38,267.8,2.8,1.47,0.074,0.004,0.89
劣Ⅵ类,28.1,7.47,0.005,908.3,31.9,4.06,1.585,0.167,2.51
Ⅱ类,30.5,8.3,8.94,253.3,8.7,2.03,0.041,0.015,0.79
Ⅳ类,26.3,7.51,3.5,836.9,32.1,3.88,0.348,0.17,5.03
Ⅳ类,28.5,7.71,4.39,1695.2,17.0,5.5,0.512,0.224,3.1
