水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,23.9,7.72,5.55,517.9,12.4,3.04,0.058,0.03,3.71
Ⅱ类,25.6,8.1,7.18,441.1,24.2,3.43,0.018,0.036,3.3
Ⅲ类,27.9,7.36,7.24,798.5,7.5,4.52,0.193,0.069,5.31
Ⅴ类,27.0,7.25,2.6,750.1,4.5,4.75,0.24,0.172,6.78
Ⅳ类,24.2,7.58,4.69,791.3,10.2,2.8,0.134,0.064,4.45
Ⅳ类,22.6,7.57,4.97,806.2,24.1,2.57,0.072,0.087,6.79
Ⅱ类,22.7,7.93,9.03,469.8,3.4,3.45,0.051,0.015,4.14
Ⅳ类,29.3,7.54,4.85,797.8,12.7,3.23,0.032,0.053,2.97
Ⅴ类,29.5,7.54,2.42,1125.2,4.5,3.21,0.036,0.125,5.73
Ⅳ类,30.1,7.68,4.13,1206.0,21.8,4.14,0.055,0.14,5.99
Ⅳ类,24.3,7.24,4.56,595.5,22.1,3.04,0.065,0.109,9.37
Ⅱ类,27.9,8.17,9.01,390.0,3.7,2.11,0.057,0.007,3.59
Ⅲ类,27.1,8.1,8.27,422.5,53.7,4.08,0.183,0.048,4.54
Ⅱ类,27.9,8.03,10.29,531.3,5.2,3.05,0.22,0.041,2.91
Ⅴ类,29.9,7.64,2.04,1112.3,16.3,3.88,0.699,0.101,1.23
Ⅳ类,29.7,7.65,4.49,1240.9,21.7,5.27,0.72,0.193,2.93
Ⅴ类,29.6,7.56,2.54,1035.2,43.3,4.5,0.909,0.128,2.2
劣Ⅵ类,29.5,7.32,0.3,1109.5,15.7,3.86,0.6,0.079,2.3
Ⅱ类,30.6,7.67,6.35,271.2,1.2,1.55,0.059,0.006,0.86
劣Ⅵ类,28.2,7.43,0.004,895.8,32.6,3.67,1.079,0.129,2.28
Ⅴ类,26.2,7.46,2.19,943.3,77.7,3.28,0.001,0.139,4.85
Ⅳ类,28.6,7.59,3.5,1735.7,13.2,4.8,0.596,0.209,3.07
Ⅳ类,19.1,8.39,4.07,2032.1,37.8,4.51,0.016,0.063,0.74
Ⅳ类,28.0,7.76,3.79,3847.5,1147.5,6.58,0.029,0.187,2.51
Ⅳ类,28.6,7.87,3.79,1495.9,29.3,4.72,0.036,0.116,1.19
Ⅴ类,30.0,7.05,2.38,710.7,69.2,5.81,0.482,0.236,2.35
Ⅳ类,22.5,8.28,10.97,6515.9,124.0,8.27,0.01,0.21,1.24
劣Ⅵ类,20.0,7.29,1.95,1144.4,66.9,2.85,0.015,0.089,2.89
Ⅲ类,29.3,8.96,13.25,394.1,32.6,5.23,0.006,0.036,2.75
Ⅲ类,26.1,8.02,8.1,366.8,14.6,4.74,0.147,0.043,3.85
Ⅲ类,24.2,7.66,7.76,718.3,16.2,3.05,0.227,0.15,10.61
Ⅱ类,24.2,7.59,6.35,515.3,35.9,1.39,0.254,0.086,8.22
Ⅱ类,28.3,8.59,12.44,523.8,10.0,2.91,0.016,0.093,7.96
Ⅱ类,25.6,8.21,7.52,616.3,122.7,2.71,0.015,0.09,2.52
Ⅲ类,24.1,7.85,6.06,1297.5,48.5,1.47,0.689,0.054,5.88
Ⅲ类,25.6,7.74,5.88,1164.2,41.2,2.12,0.344,0.102,5.86
Ⅰ类,29.8,8.53,7.76,292.8,1.6,1.93,0.027,0.007,0.89
Ⅴ类,27.1,7.03,2.56,798.4,71.5,8.24,1.982,0.344,6.71
Ⅲ类,30.1,7.81,7.01,581.2,43.5,4.88,0.024,0.099,3.34
Ⅱ类,20.7,7.88,8.54,506.3,66.5,3.38,0.035,0.075,5.35
Ⅳ类,31.6,6.96,4.97,45128.3,1.7,2.17,0.232,0.036,1.16
Ⅲ类,30.8,7.76,6.96,867.0,19.3,4.48,0.228,0.066,3.16
劣Ⅵ类,27.3,7.32,1.85,727.1,28.9,4.97,4.373,0.395,12.4
Ⅴ类,28.6,7.49,2.37,665.0,73.6,6.0,1.813,0.299,8.72
劣Ⅵ类,21.6,8.31,6.11,1174.4,1445.2,8.5,0.015,0.498,16.37
Ⅳ类,28.2,7.98,5.0,15459.7,122.0,5.58,1.145,0.137,3.52
Ⅳ类,29.1,8.6,4.22,4134.3,28.4,6.99,0.046,0.212,1.35
Ⅲ类,27.2,7.67,5.96,511.7,15.4,3.6,0.09,0.069,4.47
Ⅲ类,29.9,7.73,5.22,746.6,17.6,3.21,0.038,0.044,0.41
劣Ⅵ类,29.7,7.18,0.01,754.8,9.4,4.43,0.338,0.153,3.39
Ⅲ类,30.7,8.39,6.92,835.3,1.7,4.53,0.01,0.064,0.49
Ⅲ类,30.5,8.34,6.64,1594.5,32.9,4.84,0.033,0.027,0.66
Ⅲ类,31.3,7.91,5.4,334.9,3.7,2.3,0.065,0.012,0.78
劣Ⅵ类,30.2,7.3,1.66,939.1,31.9,3.9,0.136,0.065,4.04
Ⅲ类,30.2,7.56,5.13,675.5,5.7,4.62,0.014,0.03,0.7
Ⅰ类,25.5,8.34,9.18,733.3,4.4,1.91,0.015,0.002,1.49
Ⅲ类,23.4,8.23,7.09,1156.5,10.9,4.1,0.257,0.086,0.94
Ⅳ类,23.9,8.22,4.84,767.9,73.8,5.88,0.016,0.121,1.57
Ⅴ类,23.9,7.86,4.98,1615.2,59.2,6.95,1.889,0.328,9.66
Ⅱ类,26.7,8.23,7.6,663.5,33.8,2.53,0.001,0.043,3.36
Ⅳ类,26.5,7.58,3.89,476.7,29.4,3.54,0.05,0.052,1.67
Ⅴ类,23.0,7.62,2.68,675.0,6.6,3.22,0.259,0.029,1.02
Ⅴ类,24.7,7.48,2.74,690.2,49.8,4.81,0.441,0.148,4.69
Ⅲ类,24.4,7.62,5.59,540.0,17.7,2.53,0.018,0.018,1.62
Ⅱ类,19.8,8.29,8.57,677.9,49.8,2.19,0.021,0.031,5.03
Ⅰ类,25.6,8.18,7.98,535.8,15.2,1.42,0.049,0.004,3.11
Ⅲ类,24.4,7.93,5.65,712.1,25.5,3.75,0.126,0.091,2.34
Ⅲ类,20.8,8.23,7.47,568.6,44.1,4.69,0.008,0.052,1.44
劣Ⅵ类,25.2,7.58,2.12,1072.0,99.1,6.06,3.433,0.411,10.78
Ⅴ类,25.5,7.82,6.09,1118.6,2000.8,11.62,0.041,0.174,6.3
Ⅳ类,23.3,7.41,4.94,1427.7,26.2,4.09,0.056,0.182,6.98
劣Ⅵ类,24.5,7.48,0.58,616.4,1060.7,6.26,2.66,0.304,5.56
Ⅳ类,17.1,7.95,6.78,1051.3,38.8,7.68,0.384,0.068,5.29
Ⅲ类,19.9,8.39,8.06,739.4,274.7,3.53,0.017,0.133,4.47
Ⅱ类,17.7,8.11,7.41,445.5,155.3,3.93,0.011,0.089,5.73
Ⅲ类,19.8,8.2,6.81,551.6,458.4,4.04,0.212,0.196,5.72
Ⅳ类,27.6,7.78,3.94,939.6,467.0,4.19,0.1,0.059,6.23
Ⅲ类,18.9,8.01,6.31,589.5,120.0,2.53,0.019,0.12,4.33
