水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.7,8.1,10.24,491.3,20.8,3.1,0.062,0.027,3.93
Ⅱ类,26.7,7.88,6.93,441.7,16.7,3.11,0.05,0.034,3.04
Ⅲ类,28.0,7.45,9.36,781.6,8.3,4.19,0.068,0.075,4.98
劣Ⅵ类,29.2,7.42,3.05,694.7,3.7,8.59,4.311,0.458,9.61
Ⅱ类,25.8,7.9,9.33,791.7,13.8,3.02,0.01,0.07,6.16
Ⅲ类,24.0,8.12,11.43,773.5,24.8,2.84,0.04,0.102,6.84
Ⅱ类,23.2,7.97,10.11,468.9,2.5,3.63,0.058,0.018,3.88
Ⅲ类,30.4,7.9,8.85,802.9,14.8,5.33,0.034,0.07,3.23
Ⅲ类,30.5,7.92,8.03,1093.6,6.9,3.53,0.016,0.135,5.38
Ⅲ类,32.0,8.08,10.52,1229.1,17.1,4.11,0.01,0.132,5.92
Ⅲ类,25.4,7.19,5.21,561.3,25.7,3.4,0.084,0.115,7.94
Ⅱ类,28.3,8.07,9.34,391.4,3.3,2.21,0.068,0.009,3.49
Ⅲ类,27.6,8.25,9.64,422.6,60.0,4.04,0.219,0.045,4.66
Ⅱ类,28.5,8.22,15.0,531.5,6.6,3.34,0.169,0.044,2.87
Ⅴ类,30.3,7.69,2.63,1060.9,18.4,3.81,0.532,0.104,0.91
Ⅲ类,30.2,7.7,5.67,1203.2,22.7,5.02,0.34,0.181,2.42
Ⅴ类,29.6,7.6,2.69,918.1,43.7,3.66,0.862,0.149,2.31
劣Ⅵ类,30.1,7.38,0.84,1048.2,22.3,4.07,0.709,0.087,2.46
Ⅱ类,31.3,7.71,6.4,270.8,1.6,1.49,0.05,0.006,0.86
劣Ⅵ类,26.6,7.42,0.005,866.1,34.7,4.11,1.587,0.172,2.5
Ⅳ类,26.5,7.61,3.87,611.5,46.4,3.86,0.167,0.186,5.48
Ⅲ类,29.3,8.13,8.3,1908.3,20.1,5.44,0.275,0.189,2.69
Ⅲ类,18.9,8.41,5.82,2037.7,48.8,4.76,0.014,0.068,0.83
Ⅳ类,28.6,7.72,4.05,8685.1,1455.4,8.69,0.113,0.266,2.05
Ⅳ类,28.5,8.15,4.84,1611.1,33.9,5.52,0.023,0.127,1.18
Ⅴ类,30.2,7.0,2.75,718.3,34.1,5.84,0.501,0.211,2.35
Ⅳ类,23.3,8.52,9.49,6553.1,109.9,8.32,0.076,0.25,1.35
Ⅲ类,26.2,8.12,8.27,367.9,13.7,5.84,0.101,0.052,3.66
Ⅲ类,24.2,7.78,9.08,734.2,16.2,2.7,0.159,0.149,10.94
Ⅱ类,24.6,7.63,6.8,518.8,44.3,1.01,0.114,0.087,8.21
Ⅱ类,22.7,7.93,6.42,1154.8,48.8,1.55,0.423,0.036,4.99
Ⅰ类,30.7,8.66,8.47,288.2,1.7,1.84,0.023,0.008,0.86
Ⅲ类,30.2,7.94,7.92,582.3,49.8,5.48,0.024,0.118,3.49
Ⅳ类,29.3,7.87,8.27,550.8,32.1,5.94,0.161,0.274,5.09
Ⅱ类,20.4,7.88,8.84,506.4,63.8,3.62,0.034,0.084,5.43
Ⅲ类,32.6,6.97,5.27,44863.1,2.7,2.21,0.169,0.042,1.39
Ⅲ类,31.1,8.14,10.03,910.1,15.6,5.48,0.18,0.077,3.07
劣Ⅵ类,28.1,7.31,1.75,744.0,132.5,11.09,3.425,0.433,14.38
劣Ⅵ类,30.0,7.55,2.72,678.6,69.5,7.34,3.061,0.396,10.2
Ⅴ类,26.7,7.97,7.79,907.8,4337.5,6.13,0.949,0.316,4.44
Ⅳ类,28.9,8.04,6.04,9605.3,121.8,6.96,0.936,0.124,2.51
Ⅳ类,30.0,8.8,7.99,4052.7,28.2,7.67,0.025,0.225,1.29
Ⅳ类,29.5,7.86,8.69,881.9,2.6,7.89,0.004,0.081,0.85
Ⅱ类,27.3,7.75,7.49,519.8,17.2,3.74,0.055,0.07,4.49
Ⅲ类,30.3,7.77,5.65,913.2,23.3,3.9,0.05,0.055,0.5
Ⅳ类,31.1,7.74,6.73,687.4,24.8,4.82,0.417,0.206,3.22
Ⅲ类,31.5,8.69,10.31,835.9,2.7,5.08,0.013,0.077,0.62
