水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,23.8,7.68,5.37,528.6,11.6,2.89,0.058,0.029,4.18
Ⅱ类,25.5,8.12,7.19,439.9,22.3,3.31,0.018,0.04,3.09
Ⅲ类,27.9,7.36,7.47,800.4,7.1,4.58,0.193,0.081,5.3
Ⅴ类,27.0,7.26,2.74,747.8,2.9,4.44,0.24,0.144,7.15
Ⅳ类,22.5,7.56,4.77,806.1,21.8,2.57,0.072,0.085,8.01
Ⅱ类,22.7,7.94,9.19,469.2,3.2,3.45,0.051,0.015,4.14
Ⅳ类,29.2,7.52,4.34,798.9,13.1,3.24,0.032,0.053,2.84
Ⅴ类,28.9,7.55,2.91,1047.8,14.5,3.22,0.036,0.118,5.69
Ⅳ类,29.6,7.67,3.92,1191.7,18.8,4.13,0.055,0.143,5.9
Ⅳ类,24.2,7.17,4.58,597.0,22.5,2.82,0.065,0.103,9.32
Ⅱ类,27.8,8.12,9.11,390.3,3.4,2.55,0.057,0.007,3.54
Ⅲ类,27.0,8.1,8.14,421.5,53.5,4.07,0.183,0.047,4.56
Ⅱ类,27.8,8.01,9.88,530.8,5.0,2.92,0.22,0.044,2.94
Ⅴ类,29.8,7.66,2.04,1122.8,16.9,3.66,0.682,0.097,1.43
Ⅳ类,29.7,7.66,4.38,1225.5,21.7,5.1,0.65,0.188,2.98
Ⅴ类,29.6,7.55,2.47,1036.4,42.0,4.12,0.909,0.128,2.45
劣Ⅵ类,29.5,7.32,0.23,1116.7,19.3,3.96,0.522,0.077,2.46
Ⅱ类,30.6,7.67,6.43,271.4,1.2,1.48,0.059,0.006,0.87
劣Ⅵ类,28.2,7.43,0.004,900.5,31.0,4.23,1.557,0.163,2.44
劣Ⅵ类,26.5,7.42,1.71,1066.5,46.0,3.69,0.135,0.165,5.4
Ⅳ类,28.6,7.61,3.54,1732.7,15.3,4.8,0.596,0.209,3.07
Ⅳ类,18.9,8.35,3.66,2048.1,39.7,4.44,0.016,0.066,0.76
Ⅳ类,28.6,7.77,3.16,1514.8,29.5,4.7,0.036,0.116,1.19
Ⅴ类,30.0,6.98,2.4,698.0,40.8,5.81,0.482,0.236,2.35
Ⅳ类,22.5,8.29,9.31,6517.1,232.4,8.27,0.01,0.21,1.24
Ⅴ类,20.0,7.3,2.07,1134.4,68.5,2.08,0.015,0.093,2.56
Ⅲ类,28.3,8.76,10.4,402.6,48.8,5.23,0.006,0.036,2.75
Ⅲ类,26.2,8.11,8.27,368.3,14.0,4.74,0.147,0.043,3.85
Ⅲ类,24.2,7.66,7.64,718.2,16.1,2.78,0.227,0.156,10.52
Ⅱ类,24.2,7.58,6.33,515.5,33.1,1.41,0.254,0.089,8.41
Ⅱ类,28.5,8.61,12.55,507.4,8.1,2.7,0.008,0.083,8.37
Ⅱ类,25.5,8.2,7.59,609.1,127.9,2.47,0.015,0.083,2.58
Ⅲ类,24.2,7.84,5.87,1322.0,54.0,2.5,0.689,0.054,5.88
Ⅲ类,25.4,7.72,5.84,1164.4,40.1,1.8,0.344,0.074,5.5
Ⅰ类,29.8,8.53,7.86,295.3,1.6,1.91,0.027,0.008,0.89
Ⅴ类,27.0,7.16,2.52,822.4,64.4,8.25,1.982,0.299,6.78
Ⅲ类,30.1,7.77,6.85,581.3,39.6,4.81,0.024,0.099,3.27
Ⅱ类,20.8,7.87,8.5,505.7,52.3,3.56,0.035,0.071,5.4
Ⅳ类,31.5,6.93,4.95,44997.8,1.8,2.12,0.065,0.033,1.2
Ⅲ类,30.6,7.75,6.7,864.1,20.0,4.48,0.228,0.066,3.16
劣Ⅵ类,27.6,7.33,1.89,763.9,23.4,7.23,4.373,0.342,11.14
Ⅴ类,28.5,7.49,2.45,675.0,66.5,5.69,1.813,0.262,8.06
劣Ⅵ类,21.6,8.33,6.18,1182.1,1336.5,8.8,0.001,0.702,16.23
Ⅳ类,28.2,7.99,5.1,15230.7,131.6,6.88,1.145,0.142,3.8
Ⅳ类,29.0,8.58,4.02,4107.1,24.8,6.7,0.046,0.212,1.35
Ⅲ类,27.2,7.67,5.96,511.7,15.4,3.6,0.09,0.069,4.47
Ⅲ类,29.8,7.72,5.17,746.6,17.8,3.5,0.035,0.038,0.33
劣Ⅵ类,29.3,7.12,0.24,756.2,14.4,4.15,0.338,0.135,3.62
Ⅲ类,30.7,8.32,6.46,835.9,1.8,4.52,0.01,0.064,0.49
Ⅲ类,30.4,8.32,6.74,1593.4,35.0,5.07,0.033,0.027,0.66
Ⅲ类,31.2,7.87,5.46,335.4,3.7,2.18,0.065,0.011,0.79
劣Ⅵ类,30.2,7.3,1.51,920.8,31.1,3.9,0.136,0.065,4.04
Ⅲ类,30.2,7.56,5.13,675.5,5.7,4.62,0.014,0.03,0.7
Ⅰ类,25.4,8.33,9.04,733.2,4.5,1.86,0.009,0.003,1.51
Ⅲ类,23.3,8.23,7.15,1156.6,10.5,4.07,0.281,0.089,0.94
Ⅳ类,23.8,8.19,4.89,769.4,69.0,5.9,0.016,0.131,1.63
Ⅴ类,23.8,7.85,5.11,1661.0,57.4,5.19,1.889,0.26,8.78
Ⅱ类,26.6,8.23,7.66,664.1,37.2,2.44,0.001,0.042,3.54
Ⅳ类,26.4,7.59,3.88,475.2,35.2,3.46,0.05,0.049,1.78
Ⅴ类,23.1,7.62,2.7,669.6,7.1,3.18,0.259,0.029,1.06
Ⅴ类,24.6,7.47,2.68,673.9,53.0,4.81,0.441,0.148,4.69
Ⅲ类,24.9,7.71,5.52,519.9,15.8,2.53,0.018,0.018,1.62
Ⅱ类,19.6,8.28,8.58,673.9,48.6,2.36,0.021,0.033,5.01
Ⅰ类,25.5,8.18,8.11,535.9,13.3,1.47,0.048,0.005,3.11
Ⅱ类,24.4,8.0,6.12,711.8,26.9,3.69,0.126,0.094,2.34
Ⅲ类,20.7,8.22,7.46,569.5,48.5,4.78,0.01,0.055,1.43
劣Ⅵ类,25.0,7.58,2.15,1051.9,96.3,6.06,3.433,0.411,10.78
劣Ⅵ类,24.9,7.84,6.27,1047.8,2570.3,20.32,0.041,0.174,6.12
Ⅳ类,23.1,7.4,4.72,1427.3,29.0,3.93,0.056,0.189,6.94
劣Ⅵ类,24.4,7.48,0.76,583.8,499.3,7.73,2.66,0.35,5.58
Ⅲ类,19.8,8.38,7.84,742.6,250.8,3.32,0.014,0.111,4.43
Ⅴ类,23.6,8.39,5.9,787.1,2078.2,8.32,0.005,0.352,4.85
Ⅲ类,17.4,8.09,7.41,446.6,175.0,4.1,0.016,0.068,5.39
Ⅳ类,19.6,8.15,6.75,544.3,367.8,4.58,0.079,0.208,5.83
Ⅳ类,27.4,7.78,3.95,947.0,366.0,4.39,0.1,0.059,6.3
Ⅲ类,18.8,8.01,6.21,588.6,138.3,2.66,0.019,0.127,4.87
Ⅲ类,19.0,8.29,9.1,458.4,2158.4,2.98,0.007,0.129,3.66
Ⅳ类,24.2,8.18,6.25,669.4,2624.9,7.2,0.022,0.297,12.09
Ⅳ类,22.7,8.33,7.23,645.8,615.9,4.18,0.002,0.257,3.84
Ⅲ类,24.9,8.33,7.51,671.1,69.7,3.13,0.028,0.159,5.38
劣Ⅵ类,20.2,8.16,8.49,604.0,1705.4,9.32,0.448,0.471,7.36
劣Ⅵ类,25.7,7.01,3.1,751.0,49.4,9.05,2.007,0.139,6.39
Ⅱ类,23.2,8.2,7.08,905.3,89.6,1.38,0.051,0.025,1.61
Ⅴ类,19.8,6.65,7.84,98.1,2806.6,12.12,0.125,0.241,2.57
Ⅳ类,23.8,8.66,6.73,2975.7,81.9,6.51,0.132,0.066,1.17
Ⅱ类,27.8,8.3,7.84,853.7,450.0,2.62,0.116,0.071,1.27
Ⅱ类,15.1,8.14,7.58,757.5,8.7,2.49,0.069,0.008,7.45
Ⅳ类,22.8,7.12,3.33,865.2,5.0,3.72,0.829,0.116,9.31
Ⅱ类,28.5,7.6,6.89,274.5,2.8,2.3,0.009,0.069,5.34
Ⅲ类,28.4,8.24,8.5,355.4,29.2,4.34,0.045,0.16,1.71
Ⅲ类,27.0,8.0,6.76,538.6,8.4,4.12,0.006,0.094,5.18
Ⅲ类,28.5,8.5,12.28,625.3,4.7,4.45,0.005,0.079,4.39
Ⅰ类,27.8,8.68,10.2,145.7,4.8,1.78,0.002,0.017,1.64
Ⅳ类,28.2,7.74,12.71,530.6,19.1,8.37,0.039,0.179,4.24
Ⅲ类,24.4,7.98,5.83,295.4,7.9,1.73,0.038,0.026,4.82
Ⅳ类,21.7,6.91,7.96,203.5,67.2,4.05,0.134,0.22,3.61
Ⅱ类,21.8,7.5,7.67,251.7,25.3,2.1,0.024,0.049,8.31
Ⅱ类,15.1,7.74,12.08,272.8,20.9,2.0,0.037,0.034,4.3
Ⅱ类,18.6,7.78,7.73,301.8,25.8,2.26,0.06,0.06,4.31
Ⅱ类,18.3,7.68,8.6,209.5,33.1,2.44,0.022,0.05,4.11
Ⅰ类,21.1,7.6,9.17,198.1,2.8,1.27,0.004,0.009,7.09
Ⅲ类,20.6,7.2,5.94,161.5,9.7,0.94,0.007,0.023,2.9
Ⅱ类,21.5,7.36,10.04,158.1,9.8,1.06,0.062,0.037,4.28
Ⅱ类,22.6,8.01,7.04,750.0,19.0,2.08,0.021,0.054,4.52
Ⅲ类,25.7,8.02,6.08,691.8,53.2,2.98,0.026,0.105,4.89
Ⅱ类,22.5,7.89,6.85,476.3,8.9,3.0,0.051,0.06,1.97
Ⅱ类,26.9,7.8,6.03,255.4,6.8,2.18,0.025,0.019,5.64
Ⅳ类,28.4,8.34,7.14,533.3,27.5,6.28,0.107,0.107,4.9
Ⅲ类,21.5,7.51,6.75,366.3,42.7,3.58,0.069,0.103,5.0
Ⅱ类,21.1,7.59,8.35,345.6,40.1,3.37,0.052,0.064,5.16
Ⅱ类,20.6,7.81,7.0,407.9,8.4,1.63,0.044,0.027,2.84
Ⅱ类,22.3,8.0,7.63,432.4,8.6,2.25,0.011,0.037,7.75
Ⅳ类,24.3,7.52,4.61,533.9,52.7,4.62,0.056,0.216,4.85
Ⅱ类,25.4,8.21,7.21,755.9,23.4,2.43,0.025,0.062,9.14
Ⅲ类,19.8,8.07,7.71,852.0,103.9,3.6,0.022,0.117,14.25
Ⅳ类,21.4,7.34,4.23,597.9,3.0,2.15,0.036,0.1,7.47
Ⅲ类,26.3,7.77,7.51,929.8,27.7,3.65,0.042,0.162,8.15
Ⅱ类,23.8,8.6,7.95,285.4,48.8,3.57,0.046,0.044,1.46
Ⅲ类,20.1,6.95,8.12,164.2,163.2,5.77,0.289,0.174,4.97
Ⅳ类,20.1,7.52,4.42,368.3,137.5,6.77,0.003,0.244,4.22
Ⅳ类,19.2,7.17,9.4,162.9,255.5,5.42,0.132,0.213,8.98
Ⅲ类,23.8,6.96,5.13,191.7,152.2,5.96,0.125,0.195,5.22
Ⅳ类,19.0,7.1,9.18,160.2,292.9,5.03,0.122,0.208,7.45
