水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.7,8.04,9.4,489.5,17.8,3.1,0.068,0.027,3.93
Ⅱ类,26.4,7.86,6.86,446.4,20.4,3.11,0.041,0.034,3.04
Ⅲ类,28.0,7.37,9.6,821.0,7.9,4.19,0.065,0.075,4.98
劣Ⅵ类,29.2,7.35,2.48,666.1,4.8,8.59,1.105,0.458,9.61
Ⅱ类,25.8,7.82,8.33,788.5,12.6,3.02,0.006,0.07,4.75
Ⅲ类,23.5,7.98,9.92,782.9,21.5,2.84,0.041,0.102,6.84
Ⅱ类,23.4,7.84,9.16,467.5,2.7,3.63,0.058,0.018,3.88
Ⅲ类,30.1,7.85,8.33,801.2,14.4,5.33,0.034,0.064,3.23
Ⅲ类,30.4,7.84,6.66,1090.5,6.5,3.53,0.012,0.135,5.38
Ⅲ类,31.8,8.04,9.65,1230.4,17.7,4.11,0.034,0.132,5.92
Ⅲ类,25.4,7.27,5.03,567.4,26.1,3.4,0.065,0.115,7.94
Ⅱ类,28.3,8.14,9.45,391.2,3.0,2.21,0.06,0.009,3.49
Ⅲ类,27.6,8.27,9.83,420.0,53.2,4.04,0.242,0.045,4.66
Ⅱ类,28.5,8.24,16.13,530.8,6.3,3.34,0.22,0.044,2.87
Ⅴ类,30.2,7.7,2.57,1070.0,20.3,3.81,0.532,0.104,0.91
Ⅲ类,30.2,7.68,5.46,1206.4,21.7,5.02,0.34,0.181,2.42
Ⅴ类,29.6,7.6,2.69,918.1,43.7,3.44,0.744,0.142,2.28
劣Ⅵ类,30.0,7.33,0.35,1044.6,13.0,4.07,0.709,0.087,2.46
Ⅱ类,31.2,7.7,6.85,270.9,4.8,1.49,0.053,0.006,0.86
劣Ⅵ类,26.3,7.42,0.01,869.4,35.5,4.11,1.587,0.172,2.5
Ⅳ类,26.5,7.6,3.85,627.8,36.4,3.86,0.167,0.186,5.48
Ⅲ类,29.1,7.94,6.4,1885.2,16.8,5.2,0.306,0.195,2.77
Ⅲ类,19.2,8.49,6.01,2028.8,46.3,4.76,0.024,0.068,0.83
Ⅳ类,28.7,7.65,4.02,13905.1,1343.2,8.69,0.113,0.266,2.05
Ⅳ类,28.2,7.82,3.03,1597.1,32.5,5.52,0.035,0.118,1.14
Ⅴ类,30.2,7.07,2.66,720.5,33.8,5.84,0.501,0.211,2.35
Ⅳ类,23.3,8.5,14.28,6533.7,63.4,8.06,0.06,0.205,1.27
Ⅲ类,26.1,8.1,8.51,366.7,13.9,4.87,0.117,0.049,3.77
Ⅲ类,24.2,7.75,8.44,733.5,16.1,2.7,0.167,0.149,10.94
Ⅱ类,24.6,7.62,6.74,517.2,34.6,1.01,0.174,0.087,8.21
Ⅱ类,27.2,8.26,7.37,619.0,203.5,2.4,0.025,0.085,2.37
Ⅱ类,22.7,7.92,6.28,1154.4,47.9,1.55,0.423,0.035,4.89
Ⅰ类,30.3,8.67,8.22,288.5,1.6,1.84,0.021,0.008,0.86
劣Ⅵ类,27.7,7.22,2.32,722.5,85.2,7.56,3.207,0.318,9.46
Ⅲ类,30.2,7.99,7.79,582.5,48.5,5.48,0.028,0.118,3.49
Ⅱ类,20.5,7.88,8.89,505.7,64.7,3.62,0.036,0.084,5.43
Ⅳ类,32.6,7.0,4.96,44804.1,3.3,2.21,0.169,0.042,1.39
Ⅲ类,31.3,8.02,9.03,905.0,16.5,5.48,0.126,0.06,3.02
劣Ⅵ类,27.8,7.3,1.38,744.8,124.2,7.74,3.975,0.448,12.72
劣Ⅵ类,29.7,7.53,2.88,672.0,66.9,7.34,3.956,0.396,10.2
