水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,24.2,7.74,5.0,488.5,10.7,3.11,0.068,0.032,3.7
Ⅱ类,25.7,7.91,7.11,448.7,21.7,3.28,0.041,0.034,3.26
Ⅲ类,28.0,7.35,9.27,816.0,7.4,4.52,0.065,0.071,5.04
Ⅴ类,28.3,7.32,2.05,716.5,2.5,5.99,1.105,0.226,7.27
Ⅱ类,25.3,7.65,6.23,783.5,10.3,2.82,0.006,0.07,4.75
Ⅱ类,22.9,7.66,6.1,799.0,22.9,2.68,0.041,0.095,7.81
Ⅱ类,22.8,7.82,8.44,464.8,4.3,3.63,0.058,0.018,3.88
Ⅱ类,29.8,7.72,7.34,798.7,14.3,3.21,0.034,0.064,3.14
Ⅳ类,30.0,7.69,4.47,1096.6,5.6,3.22,0.012,0.121,5.61
Ⅲ类,31.3,7.91,7.0,1226.6,16.8,4.2,0.034,0.134,5.97
Ⅳ类,25.0,7.17,4.77,582.0,26.3,3.23,0.065,0.111,8.87
Ⅱ类,28.0,8.18,9.58,389.0,2.9,2.15,0.06,0.007,3.51
Ⅲ类,27.4,8.2,9.19,420.9,51.6,4.31,0.242,0.062,4.71
Ⅱ类,28.2,8.19,13.84,530.6,6.2,3.36,0.22,0.045,2.94
Ⅲ类,29.8,7.64,5.19,1227.2,22.3,5.2,0.617,0.19,2.78
Ⅴ类,29.3,7.58,2.57,991.1,44.8,3.44,0.744,0.142,2.28
劣Ⅵ类,29.8,7.29,0.1,1064.1,11.1,4.11,0.638,0.084,2.47
Ⅱ类,31.0,7.67,6.67,271.4,1.6,1.49,0.053,0.004,0.86
劣Ⅵ类,27.2,7.43,0.01,964.8,33.0,4.02,1.711,0.169,2.48
Ⅳ类,26.3,7.54,3.07,634.0,48.0,3.21,0.013,0.136,4.89
Ⅳ类,28.9,7.77,4.9,1857.2,17.8,5.2,0.306,0.195,2.77
Ⅲ类,18.9,8.45,5.29,2030.7,38.7,4.4,0.024,0.07,0.76
Ⅳ类,28.3,7.75,3.92,6775.5,440.2,6.69,0.051,0.154,2.98
Ⅴ类,28.3,7.67,2.3,1595.9,28.8,5.19,0.035,0.118,1.14
Ⅴ类,30.1,6.97,2.42,724.3,36.3,5.01,0.553,0.187,2.32
Ⅳ类,22.7,8.4,11.86,6518.1,125.1,8.06,0.06,0.205,1.27
Ⅴ类,20.2,7.3,2.1,1158.6,55.5,2.31,0.028,0.099,2.53
Ⅲ类,26.0,8.02,7.75,363.0,15.2,4.87,0.117,0.049,3.77
Ⅲ类,24.2,7.71,8.55,720.3,15.1,2.82,0.167,0.146,10.7
Ⅱ类,24.4,7.6,6.61,518.0,38.8,1.79,0.174,0.087,8.15
Ⅱ类,26.5,8.23,7.38,602.8,157.4,2.68,0.025,0.091,2.58
Ⅱ类,22.5,7.88,6.1,1145.7,49.0,1.35,0.423,0.035,4.89
Ⅲ类,26.4,7.84,6.46,1173.2,32.5,2.15,0.678,0.086,6.36
Ⅰ类,29.8,8.58,8.09,291.9,2.2,1.94,0.021,0.008,0.88
劣Ⅵ类,27.5,7.31,3.12,680.9,94.0,7.64,3.207,0.307,8.38
Ⅲ类,30.1,7.86,7.51,582.0,46.9,4.93,0.028,0.106,3.33
Ⅱ类,20.6,7.88,8.74,507.1,57.8,3.62,0.036,0.077,5.45
Ⅳ类,31.6,7.01,4.69,45060.8,1.7,2.22,0.067,0.034,1.2
Ⅲ类,31.2,7.92,9.12,869.5,19.0,4.84,0.126,0.06,3.02
劣Ⅵ类,27.6,7.3,1.63,700.3,83.8,7.74,3.975,0.448,12.72
劣Ⅵ类,29.8,7.56,2.63,664.3,59.4,7.01,3.956,0.386,10.05
劣Ⅵ类,22.0,8.26,5.35,1156.5,1690.2,6.85,0.004,0.443,14.23
Ⅲ类,28.7,7.97,5.77,9963.0,140.4,5.55,0.692,0.125,3.47
Ⅳ类,29.7,8.75,6.78,4048.1,28.0,7.22,0.032,0.218,1.3
Ⅳ类,29.2,7.8,6.38,876.4,5.8,7.53,0.053,0.076,0.84
Ⅲ类,30.0,7.75,5.37,814.8,18.9,4.01,0.058,0.056,0.48
劣Ⅵ类,30.2,7.26,1.67,718.2,14.5,4.97,0.348,0.188,3.23
Ⅲ类,31.1,8.57,8.98,835.2,2.0,4.66,0.009,0.067,0.52
Ⅲ类,30.8,8.4,7.91,1594.7,30.7,5.15,0.036,0.028,0.6
Ⅱ类,32.1,8.18,6.05,338.0,3.4,2.19,0.068,0.012,0.73
Ⅴ类,30.5,7.36,2.92,998.1,32.9,4.38,0.226,0.081,4.16
Ⅲ类,23.6,8.25,6.84,1154.5,10.4,4.31,0.245,0.085,1.01
Ⅳ类,25.6,8.5,5.66,751.7,63.3,6.53,0.029,0.13,1.61
Ⅱ类,25.1,8.47,7.79,543.3,116.5,2.63,0.001,0.076,2.65
Ⅴ类,24.7,7.83,4.95,1354.5,177.6,8.03,1.266,0.308,9.71
Ⅱ类,27.2,8.29,7.76,659.6,39.3,2.46,0.011,0.045,3.33
Ⅳ类,26.6,7.64,4.53,469.8,36.8,3.29,0.004,0.042,1.81
Ⅴ类,23.1,7.62,2.84,671.2,8.1,3.24,0.242,0.031,1.11
劣Ⅵ类,25.6,7.54,2.84,703.5,51.6,6.86,2.34,0.227,6.15
Ⅱ类,25.8,8.51,8.63,470.1,19.3,2.95,0.002,0.015,1.52
Ⅱ类,21.4,8.31,8.4,681.0,45.3,2.2,0.026,0.032,5.07
Ⅱ类,24.7,8.05,6.73,711.1,25.6,3.83,0.097,0.096,2.34
Ⅲ类,21.4,8.23,7.01,566.5,42.8,4.57,0.009,0.048,1.44
劣Ⅵ类,26.3,7.58,2.03,1250.5,85.6,7.98,3.801,0.601,11.86
Ⅴ类,27.8,8.0,5.86,1152.3,98.3,14.24,0.001,0.16,6.4
Ⅲ类,24.8,7.45,7.43,1402.4,29.6,4.22,0.034,0.169,7.07
Ⅴ类,29.9,8.68,8.48,6378.1,259.3,9.61,0.034,0.329,9.14
Ⅴ类,25.2,7.38,3.81,999.7,200.0,6.0,0.446,0.38,5.05
Ⅲ类,18.5,7.86,6.24,1035.5,53.2,1.75,0.845,0.125,4.58
Ⅲ类,20.8,8.38,7.84,733.8,305.6,4.07,0.005,0.138,4.32
Ⅳ类,25.5,8.45,5.64,799.8,1106.5,6.19,0.004,0.252,5.76
Ⅲ类,18.9,8.23,7.47,434.3,184.7,4.4,0.122,0.149,6.93
Ⅳ类,21.1,8.25,7.1,539.7,1967.5,5.43,1.456,0.274,6.89
Ⅳ类,28.5,7.79,4.1,971.0,288.6,4.21,0.224,0.066,6.48
Ⅲ类,20.1,8.04,6.3,586.6,92.9,2.77,0.027,0.148,4.26
Ⅱ类,21.0,8.3,8.75,471.3,642.5,2.37,0.003,0.056,3.96
Ⅳ类,25.7,8.55,7.01,892.9,1592.8,6.96,0.006,0.18,8.02
Ⅴ类,24.1,8.3,6.91,627.7,805.1,4.56,0.02,0.326,3.69
Ⅲ类,25.3,8.26,7.01,700.6,216.5,3.74,0.018,0.176,5.44
Ⅳ类,21.9,8.09,7.78,468.9,1846.4,7.87,0.369,0.185,8.29
Ⅳ类,26.8,7.75,4.36,711.7,74.6,4.13,0.248,0.139,3.22
Ⅳ类,21.7,7.01,4.58,922.1,8.8,3.7,0.915,0.133,8.41
劣Ⅵ类,31.5,9.08,9.2,144.4,13.2,7.08,0.013,0.062,1.28
Ⅴ类,30.4,7.21,2.49,242.8,35.0,4.26,0.092,0.056,0.98
Ⅲ类,31.3,7.56,7.06,139.2,7.9,4.81,0.005,0.057,0.87
Ⅳ类,31.8,7.8,7.64,445.4,100.3,6.11,0.015,0.084,0.63
Ⅱ类,29.0,7.75,6.62,297.5,36.1,1.87,0.032,0.079,1.51
Ⅳ类,28.2,7.77,3.91,203.4,19.6,2.03,0.112,0.057,1.66
Ⅲ类,31.7,7.54,5.78,331.7,28.5,3.75,0.114,0.075,0.71
Ⅲ类,31.5,7.95,5.25,380.4,3.5,2.49,0.052,0.036,0.86
Ⅱ类,33.5,8.55,17.52,457.1,21.7,2.82,0.022,0.094,1.52
Ⅱ类,33.4,8.76,10.83,184.9,3.8,2.17,0.017,0.019,1.12
Ⅰ类,31.5,8.47,9.72,249.6,1.3,1.27,0.066,0.003,0.91
Ⅰ类,31.2,8.64,9.76,236.8,6.3,1.52,0.044,0.012,0.85
Ⅱ类,32.6,8.5,10.92,212.6,2.4,2.14,0.004,0.018,0.81
Ⅱ类,30.5,7.85,6.67,472.7,6.6,3.94,0.008,0.06,2.24
Ⅰ类,30.8,8.16,8.9,371.2,12.5,1.48,0.024,0.015,1.18
Ⅱ类,30.7,8.23,7.59,402.0,10.7,1.09,0.034,0.026,1.0
Ⅲ类,22.0,7.56,7.09,321.2,20.7,2.01,0.011,0.113,3.67
Ⅱ类,25.5,7.85,6.73,460.3,12.1,1.86,0.019,0.044,1.85
Ⅱ类,24.3,7.44,6.41,366.7,24.6,1.93,0.007,0.015,1.96
Ⅲ类,32.9,7.78,9.12,502.6,49.8,4.8,0.053,0.121,2.69
Ⅱ类,31.2,8.32,7.34,308.9,4.2,2.17,0.007,0.008,1.09
Ⅱ类,29.9,7.87,6.82,306.7,12.5,2.36,0.009,0.03,1.2
Ⅱ类,30.5,8.31,10.11,332.2,19.8,2.6,0.001,0.058,0.61
Ⅰ类,16.4,7.79,7.67,342.0,7.3,1.51,0.018,0.008,1.33
Ⅲ类,32.0,8.01,11.22,515.8,30.4,3.17,0.074,0.11,0.92
Ⅱ类,28.7,7.9,8.59,316.9,3.2,2.93,0.034,0.063,1.31
Ⅲ类,30.4,7.75,5.87,379.9,27.2,2.15,0.021,0.045,2.65
Ⅱ类,29.1,7.62,6.26,299.7,33.7,1.65,0.078,0.055,1.64
Ⅳ类,30.9,7.71,3.25,194.0,18.4,5.93,0.064,0.002,0.91
Ⅱ类,30.4,8.32,8.16,354.8,9.8,2.78,0.0002,0.022,1.11
Ⅱ类,32.0,7.95,8.09,341.6,9.0,2.65,0.031,0.042,1.13
Ⅲ类,32.5,7.63,6.91,462.7,12.9,4.01,0.079,0.15,2.92
Ⅴ类,33.7,7.22,2.13,1781.0,47.6,5.5,0.407,0.224,2.21
Ⅱ类,32.4,8.02,7.97,443.7,16.3,2.65,0.01,0.056,0.77
Ⅱ类,31.5,8.06,6.95,398.3,20.2,3.1,0.017,0.044,0.84
Ⅲ类,30.9,7.94,5.39,375.3,54.4,2.12,0.036,0.058,2.3
Ⅲ类,32.5,6.65,11.07,313.4,29.0,5.95,0.024,0.114,1.62
Ⅲ类,31.7,7.75,6.13,192.1,14.4,2.73,0.019,0.104,1.22
Ⅱ类,33.2,7.87,10.27,452.2,19.0,2.79,0.015,0.033,0.71
Ⅲ类,32.3,7.53,6.22,402.7,20.8,5.07,0.084,0.074,1.99
劣Ⅵ类,32.4,7.11,1.9,499.2,25.9,3.36,0.599,0.177,2.7
Ⅳ类,27.9,7.77,6.45,302.5,45.7,1.68,0.007,0.062,1.88
Ⅲ类,30.9,8.22,9.31,288.5,45.4,3.26,0.032,0.037,1.4
Ⅲ类,31.0,7.64,12.29,503.2,21.6,4.77,0.028,0.048,1.47
Ⅱ类,26.8,7.78,7.29,379.8,37.6,1.62,0.005,0.062,1.93
Ⅱ类,27.9,7.96,8.25,357.3,27.6,1.78,0.002,0.071,1.63
Ⅱ类,27.9,8.02,8.45,365.8,25.9,1.46,0.007,0.079,2.15
Ⅱ类,26.3,7.7,7.64,352.0,27.5,1.28,0.004,0.052,1.94
Ⅳ类,32.8,7.32,3.19,470.5,29.2,2.89,0.139,0.109,3.27
Ⅳ类,29.2,7.49,4.58,415.1,29.3,2.7,0.104,0.078,1.96
Ⅲ类,23.2,8.1,7.93,312.2,50.0,2.1,0.064,0.19,3.12
Ⅳ类,29.0,7.21,4.26,138.7,329.0,3.36,0.348,0.188,2.22
Ⅳ类,32.3,8.52,7.64,185.8,20.9,5.47,0.054,0.061,1.16
Ⅳ类,30.6,7.23,3.57,370.5,20.6,2.24,0.042,0.064,1.94
Ⅱ类,28.9,7.6,7.12,212.2,21.2,3.89,0.167,0.074,1.55
Ⅲ类,27.7,7.46,5.94,177.9,11.2,1.94,0.112,0.082,1.26
劣Ⅵ类,33.4,9.08,10.64,329.1,8.2,9.02,0.03,0.15,1.44
Ⅲ类,33.7,8.63,26.58,439.8,35.4,5.99,0.085,0.088,0.86
Ⅰ类,29.8,8.82,18.56,153.4,7.9,1.5,0.014,0.019,1.25
Ⅱ类,23.7,8.08,6.98,323.6,9.7,1.8,0.02,0.07,3.51
Ⅱ类,31.7,7.58,6.77,393.0,25.2,1.21,0.078,0.04,1.27
Ⅱ类,29.3,8.02,7.38,349.5,30.4,2.22,0.054,0.057,1.42
劣Ⅵ类,31.1,7.11,1.87,468.8,25.8,4.26,0.281,0.174,2.2
Ⅱ类,23.5,7.96,7.98,343.7,18.7,1.0,0.044,0.072,1.14
Ⅲ类,29.9,7.29,5.5,213.4,32.5,1.71,0.053,0.077,1.52
Ⅳ类,28.2,6.3,4.25,132.1,34.5,3.82,0.497,0.129,1.88
Ⅴ类,27.2,6.67,2.41,145.1,19.5,2.64,0.485,0.165,2.63
Ⅳ类,28.4,6.79,3.38,182.8,19.9,3.32,0.158,0.069,1.28
Ⅲ类,30.3,7.62,5.24,261.1,28.4,1.79,0.198,0.092,1.97
Ⅲ类,27.5,7.48,5.72,319.2,20.3,2.3,0.04,0.027,2.0
Ⅱ类,30.8,7.95,6.55,274.5,7.1,1.85,0.084,0.054,1.23
Ⅳ类,30.6,7.27,5.52,134.0,13.6,0.21,0.05,0.221,1.47
Ⅱ类,30.4,8.2,7.65,184.9,20.6,1.55,0.086,0.059,1.21
Ⅱ类,28.6,7.45,7.63,177.7,19.8,1.49,0.038,0.088,0.93
Ⅱ类,28.8,7.89,6.4,351.5,12.6,2.65,0.212,0.088,1.79
Ⅱ类,24.6,7.4,9.25,89.8,32.2,1.16,0.02,0.027,0.65
Ⅳ类,31.2,7.67,5.56,219.8,35.6,0.96,0.019,0.061,1.07
Ⅱ类,27.8,7.78,6.39,287.6,42.6,1.29,0.019,0.045,1.78
Ⅱ类,29.6,7.77,7.12,383.7,24.0,0.99,0.084,0.07,1.87
Ⅳ类,31.7,7.2,3.02,356.6,12.4,2.33,0.034,0.104,1.62
Ⅲ类,29.0,6.66,5.12,99.7,19.5,2.07,0.346,0.158,1.64
Ⅳ类,29.7,6.69,4.47,116.7,14.4,3.49,0.11,0.076,1.24
Ⅱ类,27.0,7.54,6.2,176.1,39.5,1.21,0.076,0.014,1.04
Ⅲ类,25.7,7.84,9.39,197.2,50.1,0.81,0.069,0.143,0.61
Ⅱ类,27.2,7.24,7.06,152.5,37.7,1.68,0.022,0.077,3.1
Ⅱ类,28.3,7.66,8.13,204.3,25.5,1.34,0.014,0.03,1.61
Ⅳ类,30.2,6.98,4.23,157.0,26.6,3.34,0.113,0.106,1.33
Ⅱ类,29.3,8.1,8.92,177.3,2.3,1.12,0.011,0.029,1.21
Ⅱ类,25.9,8.03,7.97,214.4,26.6,1.18,0.104,0.033,1.74
