水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,23.9,7.76,5.6,507.4,13.0,3.04,0.067,0.03,3.71
Ⅱ类,25.7,8.07,7.21,442.1,27.0,3.43,0.025,0.036,3.3
Ⅲ类,27.9,7.36,7.71,798.2,7.2,4.52,0.066,0.069,5.31
Ⅴ类,27.1,7.26,2.4,745.7,4.8,4.75,0.429,0.172,6.78
Ⅳ类,24.4,7.57,4.86,790.6,10.9,2.8,0.022,0.064,6.61
Ⅲ类,22.6,7.6,5.45,810.5,24.6,2.57,0.064,0.087,6.79
Ⅱ类,22.6,7.89,8.7,468.9,3.8,3.48,0.053,0.015,3.95
Ⅲ类,29.5,7.58,5.56,797.4,11.8,3.23,0.036,0.058,2.97
Ⅴ类,29.6,7.56,2.72,1124.5,4.7,3.21,0.004,0.125,5.73
Ⅳ类,30.4,7.72,4.45,1212.4,15.9,4.14,0.045,0.14,5.99
Ⅳ类,24.4,7.15,4.6,593.7,22.6,3.04,0.062,0.109,9.37
Ⅱ类,28.0,8.13,9.24,389.7,5.6,2.11,0.049,0.007,3.59
Ⅲ类,27.3,8.2,9.09,419.9,51.0,4.08,0.205,0.048,4.54
Ⅱ类,28.0,8.06,10.57,532.3,5.2,3.05,0.2,0.041,2.91
Ⅴ类,29.9,7.64,2.16,1102.3,17.2,3.88,0.699,0.101,1.23
Ⅳ类,29.7,7.66,4.73,1248.4,20.9,5.27,0.72,0.193,2.93
Ⅴ类,29.1,7.57,2.56,1045.4,43.7,4.5,0.81,0.133,2.2
劣Ⅵ类,29.6,7.31,0.2,1098.4,15.4,3.86,0.6,0.079,2.3
Ⅱ类,30.7,7.67,6.2,271.6,1.5,1.55,0.051,0.006,0.86
劣Ⅵ类,28.2,7.43,0.005,897.3,32.2,3.67,1.079,0.129,2.28
Ⅳ类,25.9,7.53,3.05,710.2,75.7,3.28,0.001,0.139,4.85
Ⅳ类,28.6,7.61,3.51,1723.6,13.4,5.16,0.415,0.197,2.82
Ⅳ类,18.9,8.37,3.92,2031.6,39.7,4.51,0.009,0.063,0.74
Ⅳ类,28.1,7.75,4.0,3998.5,1102.8,6.58,0.029,0.187,2.51
Ⅲ类,28.7,8.06,5.18,1428.4,26.5,4.72,0.133,0.119,1.15
Ⅴ类,30.0,6.98,2.44,733.5,113.9,4.86,0.552,0.187,2.26
Ⅳ类,22.4,8.32,9.44,6514.1,193.1,8.55,0.024,0.194,1.25
劣Ⅵ类,20.1,7.29,1.96,1151.5,62.6,2.85,0.029,0.089,2.89
