水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,24.0,7.76,5.36,493.3,12.8,3.04,0.067,0.03,3.71
Ⅱ类,25.6,7.99,7.09,444.2,20.7,3.43,0.025,0.036,3.3
Ⅲ类,28.0,7.37,9.12,814.5,7.2,4.52,0.066,0.069,5.31
劣Ⅵ类,27.5,7.26,1.93,714.8,3.4,4.75,0.429,0.172,6.78
Ⅲ类,24.8,7.59,5.14,787.1,10.3,2.8,0.022,0.064,6.61
Ⅲ类,22.6,7.63,5.45,812.6,20.9,2.57,0.064,0.087,6.79
Ⅱ类,22.8,7.84,8.51,468.7,3.7,3.48,0.053,0.015,3.95
Ⅱ类,29.6,7.62,6.17,795.8,12.6,3.23,0.036,0.058,2.97
Ⅳ类,29.8,7.62,3.43,1111.8,5.4,3.21,0.004,0.125,5.73
Ⅲ类,30.9,7.81,5.66,1220.4,18.7,4.14,0.045,0.14,5.99
Ⅳ类,24.7,7.17,4.66,588.7,23.9,3.04,0.062,0.109,9.37
Ⅱ类,28.0,8.19,9.54,389.3,3.1,2.11,0.049,0.007,3.59
Ⅲ类,27.5,8.31,10.14,417.1,34.6,4.08,0.205,0.048,4.54
Ⅱ类,28.1,8.16,12.53,529.5,5.6,3.05,0.2,0.041,2.91
Ⅴ类,30.0,7.66,2.22,1083.6,17.4,3.88,0.699,0.101,1.23
Ⅲ类,29.7,7.66,5.03,1242.5,21.3,5.27,0.72,0.193,2.93
Ⅴ类,29.8,7.56,2.41,1016.7,45.1,4.5,0.81,0.133,2.2
劣Ⅵ类,29.8,7.29,0.09,1082.2,10.2,3.86,0.6,0.079,2.3
Ⅱ类,30.8,7.68,6.28,271.2,1.6,1.55,0.051,0.006,0.86
劣Ⅵ类,28.0,7.44,0.01,981.8,33.1,3.67,1.079,0.129,2.28
Ⅳ类,26.3,7.55,3.36,715.5,62.3,3.28,0.001,0.139,4.85
Ⅳ类,28.8,7.69,3.98,1810.7,16.8,5.16,0.415,0.197,2.82
Ⅳ类,18.8,8.47,4.97,2029.5,37.9,4.51,0.009,0.063,0.74
Ⅳ类,28.3,7.76,3.86,4594.8,928.8,6.58,0.029,0.187,2.51
Ⅳ类,28.6,7.97,4.76,1566.7,26.7,4.72,0.133,0.119,1.15
Ⅴ类,30.0,7.01,2.56,827.4,60.8,4.86,0.552,0.187,2.26
Ⅳ类,22.7,8.33,10.57,6518.7,259.4,8.55,0.024,0.194,1.25
劣Ⅵ类,20.1,7.3,1.96,1158.4,56.9,2.85,0.029,0.089,2.89
Ⅲ类,29.8,9.0,13.3,404.3,30.4,5.55,0.001,0.04,3.06
Ⅲ类,25.9,7.99,8.16,363.2,14.7,4.75,0.174,0.052,3.85
Ⅲ类,24.2,7.69,7.97,727.9,16.0,3.05,0.199,0.15,10.61
Ⅱ类,24.3,7.59,6.48,518.4,32.9,1.39,0.214,0.086,8.22
Ⅱ类,28.3,8.54,11.65,507.7,12.1,2.91,0.016,0.093,7.96
Ⅱ类,26.0,8.22,7.47,612.6,134.5,2.71,0.018,0.09,2.52
Ⅲ类,22.0,7.86,6.21,1141.6,78.3,1.47,0.502,0.037,4.91
Ⅲ类,26.1,7.8,5.91,1181.0,30.8,2.12,0.599,0.102,5.86
Ⅰ类,29.7,8.56,7.89,292.3,1.4,1.93,0.03,0.007,0.89
劣Ⅵ类,27.3,6.91,3.02,732.4,84.4,8.24,2.284,0.344,6.71
Ⅲ类,30.1,7.82,7.22,582.5,54.8,4.88,0.021,0.099,3.34
Ⅱ类,20.7,7.88,8.71,506.0,65.7,3.38,0.038,0.075,5.35
Ⅳ类,31.4,6.95,4.98,45163.2,1.7,2.17,0.232,0.036,1.16
Ⅲ类,30.9,7.83,8.37,855.7,18.5,4.44,0.195,0.062,3.05
劣Ⅵ类,27.2,7.31,1.49,723.0,54.7,4.97,4.617,0.395,12.4
劣Ⅵ类,29.4,7.5,3.52,650.1,63.9,6.0,2.563,0.299,8.72
劣Ⅵ类,22.2,8.32,6.01,1174.5,1445.9,8.5,0.015,0.498,16.37
Ⅳ类,25.5,8.13,8.69,1010.0,2251.4,5.77,0.837,0.255,3.97
Ⅲ类,28.5,8.02,5.78,14299.0,176.2,5.58,0.806,0.137,3.52
Ⅳ类,29.4,8.68,5.18,4109.6,26.6,6.99,0.037,0.215,1.27
Ⅳ类,29.2,7.83,5.92,871.5,5.7,7.53,0.031,0.062,0.84
Ⅲ类,27.3,7.65,5.91,513.9,13.7,3.6,0.09,0.069,4.47
Ⅲ类,30.1,7.75,5.38,759.3,18.9,3.21,0.038,0.044,0.41
劣Ⅵ类,30.1,7.19,1.05,731.4,10.0,4.43,0.338,0.153,3.39
Ⅲ类,30.9,8.52,8.32,834.8,1.8,4.53,0.009,0.065,0.54
Ⅲ类,30.7,8.35,7.2,1595.0,33.8,4.84,0.036,0.028,0.65
Ⅲ类,31.8,8.05,5.68,331.8,3.8,2.3,0.073,0.012,0.78
Ⅴ类,30.4,7.33,2.36,976.9,31.5,4.21,0.199,0.07,4.59
Ⅲ类,30.2,7.56,5.13,675.5,5.7,4.62,0.014,0.03,0.7
Ⅰ类,25.5,8.35,9.4,733.4,4.5,1.91,0.015,0.002,1.49
Ⅲ类,23.5,8.25,7.08,1155.4,12.1,4.1,0.257,0.086,0.94
Ⅲ类,24.8,8.4,5.32,758.1,65.6,5.88,0.01,0.121,1.57
劣Ⅵ类,24.4,7.8,4.96,1468.9,119.0,6.95,2.291,0.328,9.66
Ⅱ类,27.2,8.27,7.66,660.8,35.1,2.53,0.005,0.043,3.36
Ⅳ类,26.7,7.62,4.28,473.8,35.6,3.54,0.047,0.052,1.67
Ⅴ类,23.1,7.62,2.75,672.1,7.6,3.22,0.25,0.029,1.02
劣Ⅵ类,25.3,7.54,3.35,711.2,48.0,7.05,2.216,0.281,6.04
Ⅱ类,25.5,8.02,7.92,501.6,16.2,2.85,0.006,0.017,1.42
Ⅱ类,20.9,8.3,8.35,678.4,44.5,2.19,0.025,0.031,5.03
Ⅰ类,25.6,8.19,8.26,535.5,11.7,1.42,0.049,0.004,3.11
Ⅱ类,24.6,8.06,6.81,710.7,25.2,3.75,0.117,0.091,2.34
Ⅲ类,21.1,8.23,7.24,567.1,45.6,4.69,0.008,0.052,1.44
劣Ⅵ类,25.8,7.57,1.88,1195.2,81.6,6.7,3.748,0.515,12.23
Ⅴ类,26.8,7.87,5.58,1178.9,1044.7,11.62,0.041,0.174,6.3
Ⅲ类,24.1,7.44,5.97,1409.3,26.2,4.09,0.043,0.182,6.98
Ⅴ类,29.7,8.72,8.5,6571.0,231.5,9.4,0.003,0.306,7.89
Ⅴ类,25.3,7.43,2.05,898.7,133.7,6.26,0.311,0.304,5.56
Ⅳ类,18.1,7.91,6.4,1066.8,45.4,7.68,0.384,0.068,5.29
Ⅲ类,20.4,8.37,7.9,740.3,248.3,3.53,0.017,0.133,4.47
Ⅱ类,18.6,8.2,7.47,429.3,208.4,3.93,0.011,0.089,5.73
Ⅲ类,20.7,8.3,7.21,554.7,858.2,4.04,0.212,0.196,5.72
Ⅳ类,28.2,7.8,4.06,963.2,490.4,4.19,0.104,0.059,6.23
Ⅲ类,19.5,7.98,5.75,587.8,195.2,2.53,0.019,0.12,4.33
Ⅲ类,20.4,8.31,8.9,476.2,479.0,3.19,0.013,0.188,3.86
Ⅴ类,23.6,8.31,7.16,633.0,785.2,4.31,0.011,0.302,3.79
Ⅲ类,25.3,8.27,7.13,681.2,141.0,3.73,0.014,0.174,5.56
劣Ⅵ类,21.3,8.13,8.18,568.5,1382.5,10.3,0.68,0.457,7.38
Ⅱ类,19.1,7.85,6.32,491.8,29.5,2.46,0.117,0.034,3.06
Ⅳ类,25.3,7.53,3.32,682.2,97.8,6.36,0.682,0.157,4.07
Ⅱ类,23.4,8.22,7.07,893.5,95.1,1.34,0.058,0.025,1.54
Ⅳ类,24.7,8.66,6.86,2956.1,49.0,6.45,0.112,0.053,1.15
Ⅱ类,16.3,8.14,7.36,744.1,6.9,2.42,0.091,0.009,7.48
Ⅳ类,22.6,7.07,3.52,861.4,5.7,3.72,1.073,0.142,9.11
Ⅱ类,29.0,7.72,7.33,273.6,4.6,2.34,0.008,0.07,5.51
Ⅲ类,28.6,8.23,8.59,352.7,27.9,4.4,0.058,0.163,1.82
Ⅱ类,27.3,8.07,7.36,535.9,10.7,3.95,0.008,0.096,5.1
Ⅲ类,28.4,8.7,13.4,600.3,5.6,4.85,0.007,0.105,4.38
Ⅳ类,28.7,8.17,19.65,528.7,19.9,8.83,0.033,0.174,4.16
Ⅲ类,25.0,8.25,5.76,291.4,8.5,1.81,0.039,0.033,4.88
Ⅳ类,21.7,6.9,7.87,203.9,65.0,4.0,0.138,0.227,3.58
Ⅱ类,22.2,7.51,7.44,250.6,25.5,2.37,0.024,0.05,8.25
Ⅱ类,15.8,7.79,11.9,271.3,17.5,2.09,0.037,0.038,4.29
Ⅱ类,18.4,7.74,7.66,313.5,26.5,2.34,0.072,0.062,4.49
Ⅱ类,18.4,7.7,8.61,208.6,29.2,2.51,0.02,0.046,3.98
Ⅰ类,22.0,7.51,8.34,196.5,2.6,1.15,0.007,0.009,7.15
Ⅱ类,21.3,7.21,6.0,161.6,8.5,1.0,0.009,0.022,2.83
Ⅱ类,21.3,7.32,9.53,157.4,10.1,1.35,0.063,0.038,4.21
Ⅱ类,23.7,8.03,7.37,748.3,19.2,2.1,0.065,0.06,4.6
Ⅲ类,26.3,8.03,6.04,683.6,54.6,3.19,0.017,0.11,4.98
Ⅱ类,22.6,7.93,7.1,474.7,8.3,3.13,0.051,0.063,2.0
Ⅲ类,25.4,7.97,8.35,604.4,30.4,3.13,0.03,0.122,4.69
