水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,24.0,7.77,5.62,500.1,12.7,3.04,0.067,0.03,3.71
Ⅱ类,25.7,8.02,7.12,443.2,23.2,3.43,0.025,0.036,3.3
Ⅲ类,27.9,7.35,8.73,815.7,7.1,4.52,0.066,0.069,5.31
Ⅴ类,27.2,7.24,2.12,733.2,3.5,4.75,0.429,0.172,6.78
Ⅳ类,24.5,7.58,4.91,786.9,10.3,2.8,0.022,0.064,6.61
Ⅲ类,22.6,7.61,5.33,816.1,23.4,2.57,0.064,0.087,6.79
Ⅱ类,22.8,7.86,8.61,469.6,4.3,3.48,0.053,0.015,3.95
Ⅲ类,29.5,7.59,5.68,795.2,12.8,3.23,0.036,0.058,2.97
Ⅳ类,29.7,7.59,3.04,1118.8,4.4,3.21,0.004,0.125,5.73
Ⅲ类,30.6,7.76,5.02,1217.5,17.3,4.14,0.045,0.14,5.99
Ⅳ类,24.6,7.16,4.64,591.5,23.4,3.04,0.062,0.109,9.37
Ⅱ类,27.9,8.17,9.4,389.2,2.9,2.11,0.049,0.007,3.59
Ⅲ类,27.5,8.29,9.88,417.0,41.1,4.08,0.205,0.048,4.54
Ⅱ类,28.0,8.11,11.74,530.9,5.5,3.05,0.2,0.041,2.91
Ⅴ类,30.0,7.66,2.25,1094.2,17.4,3.88,0.699,0.101,1.23
Ⅳ类,29.7,7.66,4.91,1248.3,21.3,5.27,0.72,0.193,2.93
Ⅴ类,29.7,7.56,2.5,1026.5,43.8,4.5,0.81,0.133,2.2
劣Ⅵ类,29.6,7.28,0.08,1079.1,7.2,3.86,0.6,0.079,2.3
Ⅱ类,30.7,7.68,6.44,271.2,2.5,1.55,0.051,0.006,0.86
劣Ⅵ类,28.0,7.46,0.004,920.6,31.1,3.67,1.079,0.129,2.28
Ⅳ类,26.2,7.59,3.95,606.1,71.9,3.28,0.001,0.139,4.85
Ⅳ类,28.6,7.64,3.92,1740.1,13.0,5.16,0.415,0.197,2.82
Ⅳ类,18.9,8.42,4.26,2041.7,36.9,4.51,0.009,0.063,0.74
Ⅳ类,28.2,7.76,4.03,4297.2,1029.6,6.58,0.029,0.187,2.51
Ⅲ类,28.7,8.08,5.44,1442.8,28.8,4.72,0.133,0.119,1.15
Ⅴ类,30.0,6.99,2.52,767.2,109.2,4.86,0.552,0.187,2.26
Ⅳ类,22.5,8.32,9.54,6520.2,238.0,8.55,0.024,0.194,1.25
劣Ⅵ类,20.1,7.3,1.98,1156.7,61.3,2.85,0.029,0.089,2.89
Ⅲ类,29.6,8.98,13.35,403.6,27.3,5.55,0.001,0.04,3.06
Ⅲ类,25.8,7.98,8.21,363.0,14.6,4.75,0.174,0.052,3.85
Ⅲ类,24.2,7.68,7.87,725.1,16.1,3.05,0.199,0.15,10.61
Ⅱ类,24.3,7.59,6.46,516.3,30.8,1.39,0.214,0.086,8.22
Ⅱ类,28.1,8.5,11.48,516.5,10.9,2.91,0.016,0.093,7.96
Ⅱ类,25.9,8.22,7.49,613.9,127.4,2.71,0.018,0.09,2.52
Ⅲ类,22.2,7.88,6.32,1159.3,52.7,1.47,0.502,0.037,4.91
Ⅲ类,26.0,7.78,5.92,1175.2,33.9,2.12,0.599,0.102,5.86
Ⅰ类,29.7,8.55,7.84,294.6,1.2,1.93,0.03,0.007,0.89
劣Ⅵ类,27.2,6.78,2.66,766.0,77.9,8.24,2.284,0.344,6.71
Ⅲ类,30.1,7.79,7.04,582.1,41.6,4.88,0.021,0.099,3.34
Ⅱ类,20.7,7.88,8.62,505.8,53.8,3.38,0.038,0.075,5.35
Ⅳ类,31.4,6.99,4.92,45166.3,1.6,2.17,0.232,0.036,1.16
Ⅲ类,30.9,7.81,7.93,855.1,21.8,4.44,0.195,0.062,3.05
劣Ⅵ类,27.2,7.27,1.63,724.6,44.9,4.97,4.617,0.395,12.4
劣Ⅵ类,29.1,7.5,2.42,649.7,73.2,6.0,2.563,0.299,8.72
劣Ⅵ类,22.3,8.33,6.2,1176.0,1604.4,8.5,0.015,0.498,16.37
Ⅳ类,25.1,8.14,8.87,1017.0,2010.2,5.77,0.837,0.255,3.97
Ⅲ类,28.3,8.01,5.56,14804.6,157.5,5.58,0.806,0.137,3.52
Ⅳ类,29.3,8.66,5.16,4121.9,26.9,6.99,0.037,0.215,1.27
Ⅳ类,29.0,7.75,4.63,866.3,6.3,7.42,0.031,0.062,0.79
Ⅲ类,27.2,7.67,5.96,511.7,15.4,3.6,0.09,0.069,4.47
Ⅲ类,30.0,7.75,5.3,752.0,17.2,3.21,0.038,0.044,0.41
劣Ⅵ类,30.0,7.13,0.54,738.3,9.1,4.43,0.338,0.153,3.39
Ⅲ类,30.8,8.49,8.0,835.9,1.9,4.53,0.009,0.065,0.54
Ⅲ类,30.6,8.35,7.0,1594.3,31.4,4.84,0.036,0.028,0.65
Ⅲ类,31.6,8.0,5.7,330.0,3.5,2.3,0.073,0.012,0.78
Ⅴ类,30.4,7.32,2.14,967.8,30.3,4.21,0.199,0.07,4.59
Ⅲ类,30.2,7.56,5.13,675.5,5.7,4.62,0.014,0.03,0.7
Ⅰ类,25.5,8.34,9.2,733.5,4.1,1.91,0.015,0.002,1.49
Ⅲ类,23.4,8.24,7.11,1156.5,10.8,4.1,0.257,0.086,0.94
Ⅲ类,24.5,8.33,5.09,763.7,69.0,5.88,0.01,0.121,1.57
劣Ⅵ类,24.2,7.84,4.97,1506.0,102.3,6.95,2.291,0.328,9.66
Ⅱ类,27.1,8.26,7.64,661.8,36.1,2.53,0.005,0.043,3.36
Ⅳ类,26.6,7.57,3.78,474.9,31.5,3.54,0.047,0.052,1.67
Ⅴ类,23.0,7.62,2.77,675.3,7.2,3.22,0.25,0.029,1.02
劣Ⅵ类,25.1,7.52,3.12,709.4,43.1,7.05,2.216,0.281,6.04
Ⅱ类,25.0,7.81,7.0,515.8,14.7,2.85,0.006,0.017,1.42
Ⅱ类,20.5,8.3,8.4,677.4,46.4,2.19,0.025,0.031,5.03
Ⅰ类,25.6,8.2,8.32,535.4,13.2,1.42,0.049,0.004,3.11
Ⅱ类,24.5,8.03,6.44,710.5,23.7,3.75,0.117,0.091,2.34
Ⅲ类,20.9,8.23,7.44,567.8,41.3,4.69,0.008,0.052,1.44
劣Ⅵ类,25.6,7.57,1.98,1141.7,86.8,6.7,3.748,0.515,12.23
Ⅴ类,26.3,7.78,5.04,1101.2,492.2,11.62,0.041,0.174,6.3
Ⅲ类,23.8,7.43,5.52,1417.6,29.0,4.09,0.043,0.182,6.98
Ⅴ类,29.8,8.74,8.18,6543.3,223.4,9.4,0.003,0.306,7.89
劣Ⅵ类,25.1,7.41,1.26,770.5,418.2,6.26,0.311,0.304,5.56
Ⅳ类,17.6,7.93,6.54,1051.1,40.5,7.68,0.384,0.068,5.29
Ⅲ类,20.2,8.39,8.06,740.3,270.6,3.53,0.017,0.133,4.47
Ⅱ类,18.4,8.16,7.39,433.2,187.1,3.93,0.011,0.089,5.73
Ⅲ类,20.5,8.3,7.3,560.3,648.9,4.04,0.212,0.196,5.72
