水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅳ类,24.1,7.73,4.94,487.7,12.4,3.11,0.067,0.032,3.7
Ⅱ类,25.7,7.96,7.06,446.1,21.7,3.28,0.025,0.034,3.26
Ⅲ类,28.0,7.38,9.31,812.9,7.6,4.52,0.066,0.071,5.04
劣Ⅵ类,28.0,7.3,1.99,716.0,2.5,5.99,0.429,0.226,7.27
Ⅲ类,25.0,7.61,5.58,786.0,10.0,2.82,0.022,0.07,6.61
Ⅲ类,22.8,7.64,5.6,806.9,21.2,2.68,0.064,0.095,7.81
Ⅱ类,22.8,7.83,8.48,467.4,3.3,3.63,0.053,0.018,3.88
Ⅱ类,29.7,7.66,6.67,796.2,12.2,3.21,0.036,0.058,3.14
Ⅳ类,30.0,7.65,3.88,1104.6,5.6,3.22,0.004,0.121,5.61
Ⅲ类,31.1,7.85,6.36,1224.2,19.8,4.2,0.045,0.134,5.97
Ⅳ类,24.9,7.25,4.71,585.4,24.9,3.23,0.062,0.111,8.87
Ⅱ类,28.1,8.23,9.39,389.4,3.0,2.15,0.049,0.007,3.51
Ⅲ类,27.2,8.13,8.47,421.3,59.9,4.31,0.205,0.062,4.71
Ⅱ类,28.1,8.2,13.72,531.0,5.7,3.36,0.2,0.045,2.94
Ⅴ类,30.0,7.65,2.13,1077.5,20.8,4.06,0.672,0.105,0.96
Ⅲ类,29.8,7.65,5.04,1235.6,21.0,5.2,0.617,0.19,2.78
Ⅴ类,29.8,7.58,2.51,1004.8,44.7,3.44,0.81,0.133,2.28
劣Ⅵ类,29.8,7.29,0.12,1068.3,9.2,4.11,0.638,0.084,2.47
Ⅱ类,31.0,7.67,6.59,271.4,1.6,1.49,0.051,0.004,0.86
劣Ⅵ类,26.7,7.44,0.004,981.9,33.0,4.02,1.711,0.169,2.48
Ⅳ类,26.4,7.58,3.6,684.5,57.1,3.21,0.013,0.136,4.89
Ⅳ类,28.9,7.73,4.67,1884.7,18.0,5.16,0.415,0.197,2.82
Ⅲ类,19.2,8.51,5.12,2015.0,38.1,4.4,0.009,0.07,0.76
Ⅳ类,28.3,7.76,3.97,5229.5,896.2,6.69,0.051,0.154,2.98
Ⅳ类,28.5,7.87,3.75,1629.0,29.7,5.19,0.133,0.119,1.15
Ⅴ类,30.1,7.04,2.38,738.9,49.8,5.01,0.553,0.187,2.32
Ⅳ类,23.0,8.35,12.72,6517.7,71.1,8.55,0.024,0.194,1.25
Ⅴ类,20.1,7.28,2.02,1158.5,57.9,2.31,0.029,0.099,2.53
Ⅲ类,25.9,8.01,8.12,363.1,14.4,4.75,0.174,0.052,3.85
Ⅲ类,24.2,7.7,8.11,728.6,15.2,2.82,0.199,0.146,10.7
Ⅱ类,24.4,7.59,6.53,517.9,30.6,1.79,0.214,0.087,8.15
Ⅲ类,28.2,8.56,11.71,513.1,12.1,3.68,0.021,0.114,7.96
Ⅱ类,26.2,8.23,7.42,603.2,140.2,2.68,0.018,0.091,2.58
Ⅲ类,22.2,7.84,6.13,1139.5,58.5,1.35,0.502,0.037,4.91
Ⅲ类,26.3,7.81,6.12,1176.2,30.6,2.15,0.599,0.086,6.36
Ⅰ类,29.7,8.58,7.93,291.9,1.2,1.94,0.03,0.008,0.88
劣Ⅵ类,27.3,7.08,3.45,703.7,90.2,7.64,2.284,0.307,8.38
Ⅲ类,30.2,7.89,7.33,582.4,46.1,4.93,0.021,0.106,3.33
Ⅱ类,20.6,7.88,8.75,505.5,61.9,3.62,0.038,0.077,5.45
Ⅳ类,31.5,6.97,4.81,45072.0,1.6,2.22,0.067,0.034,1.2
Ⅲ类,31.0,7.86,8.67,863.8,19.0,4.84,0.195,0.06,3.02
劣Ⅵ类,27.0,7.31,1.55,738.5,69.9,4.97,4.617,0.395,12.4
劣Ⅵ类,29.5,7.51,2.46,655.6,64.3,7.01,2.563,0.386,10.05
劣Ⅵ类,22.8,8.35,6.25,1173.1,1551.2,6.85,0.004,0.443,14.23
Ⅳ类,25.8,8.12,8.54,998.7,2124.4,4.52,0.69,0.244,3.05
Ⅲ类,28.6,8.02,6.06,13476.3,260.4,5.55,0.806,0.125,3.47
Ⅳ类,29.6,8.68,5.28,4072.1,26.2,6.99,0.037,0.215,1.27
Ⅳ类,29.2,7.83,5.92,871.5,5.7,7.53,0.031,0.062,0.84
Ⅱ类,27.3,7.66,6.16,514.1,13.8,3.54,0.068,0.07,4.54
Ⅲ类,30.1,7.76,5.46,770.3,18.9,4.01,0.058,0.056,0.48
劣Ⅵ类,30.2,7.3,1.43,725.0,10.3,4.97,0.338,0.188,3.23
Ⅲ类,30.9,8.52,8.43,835.4,2.3,4.66,0.009,0.065,0.54
Ⅲ类,30.8,8.35,7.33,1594.9,29.6,5.15,0.036,0.028,0.65
Ⅲ类,31.9,8.08,5.73,325.0,4.7,2.19,0.073,0.012,0.73
Ⅴ类,30.4,7.35,2.68,986.8,34.3,4.21,0.199,0.07,4.59
Ⅳ类,30.3,7.57,4.99,677.9,5.4,4.62,0.014,0.03,0.7
Ⅲ类,23.6,8.26,7.13,1154.8,11.1,4.31,0.245,0.085,1.01
Ⅳ类,25.2,8.45,5.47,754.8,72.2,6.53,0.01,0.13,1.61
劣Ⅵ类,24.5,7.83,5.02,1446.0,146.8,8.03,2.291,0.308,9.71
Ⅱ类,27.3,8.28,7.67,660.7,36.6,2.46,0.005,0.045,3.33
Ⅳ类,26.9,7.63,4.49,474.1,37.7,3.29,0.047,0.042,1.81
Ⅴ类,23.1,7.63,2.74,670.8,7.6,3.24,0.25,0.031,1.11
劣Ⅵ类,25.5,7.54,3.01,710.5,51.6,7.05,2.216,0.281,6.04
Ⅱ类,25.9,8.38,8.54,473.7,15.7,2.85,0.006,0.017,1.42
Ⅱ类,21.3,8.3,8.36,680.4,43.0,2.2,0.025,0.032,5.07
Ⅱ类,24.6,8.05,6.84,710.8,24.9,3.83,0.117,0.096,2.34
Ⅲ类,21.2,8.23,7.04,567.1,37.6,4.57,0.009,0.048,1.44
劣Ⅵ类,26.1,7.55,1.92,1205.7,85.3,6.7,3.748,0.515,12.23
Ⅴ类,27.3,8.0,6.03,1145.2,145.5,14.24,0.041,0.16,6.4
Ⅲ类,24.5,7.44,6.53,1402.0,27.8,4.22,0.043,0.169,7.07
Ⅴ类,29.8,8.69,8.56,6454.9,260.0,9.61,0.003,0.329,9.14
Ⅴ类,25.2,7.41,3.04,942.5,143.1,6.0,0.311,0.38,5.05
Ⅲ类,18.4,7.88,6.31,1058.7,46.7,1.75,0.845,0.125,4.58
Ⅲ类,20.5,8.38,7.83,732.1,294.3,4.07,0.005,0.138,4.32
Ⅳ类,25.0,8.43,5.76,788.3,1859.5,6.19,0.004,0.252,5.76
Ⅲ类,18.7,8.22,7.51,434.2,190.0,4.4,0.122,0.149,6.93
Ⅳ类,20.9,8.27,7.16,545.8,1498.2,5.43,1.456,0.274,6.89
Ⅳ类,28.3,7.8,4.11,966.4,429.2,4.21,0.104,0.066,6.48
Ⅲ类,19.7,8.02,6.19,589.3,153.7,2.77,0.027,0.148,4.26
Ⅱ类,20.7,8.3,8.83,468.2,1013.5,2.37,0.003,0.056,3.96
Ⅳ类,25.6,8.61,7.15,836.0,738.6,6.96,0.006,0.18,8.02
