水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.3,7.76,7.09,527.6,15.9,2.98,0.074,0.027,4.65
Ⅲ类,28.0,7.3,5.62,814.7,6.2,4.57,0.606,0.086,4.83
Ⅳ类,27.0,7.38,4.17,716.7,2.6,4.64,0.181,0.127,6.98
Ⅱ类,23.6,8.3,12.12,813.4,3.6,2.51,0.002,0.06,6.69
Ⅱ类,23.4,7.72,7.96,799.9,27.4,2.84,0.068,0.082,7.76
Ⅱ类,23.1,8.16,11.8,455.6,6.7,3.41,0.052,0.014,3.74
Ⅲ类,29.5,7.64,5.69,822.6,14.2,3.03,0.044,0.057,3.09
Ⅴ类,28.6,7.56,2.71,1126.8,6.8,3.54,0.071,0.12,5.6
Ⅳ类,28.4,7.6,3.23,1213.3,14.4,4.07,0.093,0.142,5.7
Ⅳ类,23.6,7.17,4.86,599.0,20.3,2.9,0.072,0.1,9.35
Ⅱ类,27.8,8.13,9.32,389.6,3.3,2.9,0.072,0.011,3.52
Ⅲ类,26.0,8.06,7.96,429.3,70.4,4.55,0.337,0.059,4.94
Ⅱ类,28.2,8.26,13.83,529.4,6.6,3.14,0.219,0.048,2.86
劣Ⅵ类,29.0,7.68,1.73,1108.4,17.5,3.83,0.573,0.095,1.5
Ⅳ类,28.0,7.33,3.33,925.4,88.8,4.66,0.497,0.186,2.73
劣Ⅵ类,27.7,7.5,0.19,1038.0,40.1,6.21,3.458,0.411,5.43
劣Ⅵ类,28.9,7.42,1.16,1070.6,29.5,4.27,0.524,0.08,2.65
Ⅱ类,30.0,7.66,6.32,270.4,3.0,1.47,0.074,0.004,0.89
劣Ⅵ类,27.7,7.4,0.01,907.2,30.7,4.06,1.585,0.167,2.51
Ⅱ类,30.2,8.27,8.69,252.4,7.9,2.03,0.041,0.015,0.79
Ⅳ类,26.1,7.5,3.28,857.9,40.9,3.88,0.348,0.17,5.03
Ⅳ类,28.5,7.75,4.48,1692.4,17.7,5.5,0.512,0.224,3.1
Ⅴ类,18.9,8.18,2.99,2049.8,47.7,4.2,0.036,0.066,0.88
Ⅴ类,27.8,7.52,2.11,1442.1,34.0,4.63,0.082,0.118,1.1
Ⅳ类,29.8,7.17,3.18,681.6,35.6,5.09,0.411,0.185,2.19
Ⅳ类,22.8,8.24,10.74,6545.9,117.5,8.4,0.019,0.209,1.23
Ⅴ类,20.2,7.33,2.29,1109.2,59.7,2.79,0.024,0.093,2.56
Ⅲ类,28.0,8.75,9.85,403.1,8.2,4.85,0.052,0.04,2.71
Ⅲ类,26.6,8.21,8.12,373.2,12.4,4.9,0.169,0.054,3.82
Ⅲ类,24.4,7.68,8.33,716.9,16.1,2.87,0.252,0.159,10.66
Ⅲ类,27.6,8.53,11.28,527.4,9.2,3.5,0.03,0.105,8.22
Ⅱ类,28.2,8.24,8.29,610.0,134.2,2.3,0.011,0.083,2.56
Ⅲ类,23.9,8.0,6.23,1334.1,49.5,3.24,0.647,0.07,6.66
Ⅰ类,31.0,8.64,9.56,289.7,1.6,1.9,0.029,0.008,0.84
Ⅴ类,27.6,7.4,5.55,937.9,33.3,6.98,1.981,0.247,7.48
Ⅲ类,29.6,7.72,6.51,576.5,41.1,4.52,0.023,0.098,3.24
Ⅱ类,20.6,7.86,8.19,500.5,62.6,3.43,0.043,0.071,5.41
Ⅳ类,32.1,6.94,4.91,44802.6,1.9,2.04,0.059,0.033,1.16
Ⅲ类,31.2,7.93,7.64,825.3,28.3,4.28,0.173,0.072,3.04
劣Ⅵ类,30.0,7.74,6.06,817.6,24.2,5.38,3.261,0.265,9.79
Ⅴ类,29.2,7.55,2.52,687.6,69.5,5.22,1.301,0.227,7.89
Ⅱ类,28.0,8.09,8.67,477.6,17.6,1.86,0.009,0.024,3.31
劣Ⅵ类,23.0,8.34,6.15,1183.1,1149.3,9.5,0.018,0.459,14.87
Ⅱ类,19.8,7.82,7.62,347.6,42.6,3.4,0.026,0.096,4.46
Ⅳ类,28.9,8.02,6.5,8772.6,62.0,6.18,1.04,0.128,3.37
Ⅴ类,28.8,8.28,2.82,5879.4,34.0,6.73,0.015,0.221,1.3
劣Ⅵ类,27.4,7.53,1.9,791.7,16.6,7.22,0.061,0.086,1.02
Ⅱ类,26.4,7.64,14.5,503.4,61.1,3.67,0.091,0.076,4.54
Ⅲ类,29.4,7.75,5.33,772.6,19.6,3.48,0.041,0.042,0.38
Ⅲ类,28.4,7.38,5.66,794.1,13.6,4.16,0.338,0.133,3.86
