水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,23.8,7.66,5.68,533.4,12.8,2.89,0.058,0.029,4.18
Ⅲ类,28.2,7.37,7.01,796.2,5.3,4.58,0.193,0.081,5.3
Ⅳ类,26.9,7.3,3.04,746.1,2.6,4.44,0.24,0.144,7.15
Ⅲ类,22.6,7.59,5.1,801.2,24.5,2.57,0.072,0.085,8.01
Ⅱ类,22.7,8.03,9.92,463.2,3.1,3.45,0.051,0.015,4.14
Ⅳ类,29.2,7.52,4.17,806.8,13.0,3.24,0.032,0.053,2.84
Ⅴ类,28.8,7.54,2.7,1102.5,7.6,3.22,0.036,0.118,5.69
Ⅳ类,29.1,7.64,3.49,1194.7,15.3,4.13,0.055,0.143,5.9
Ⅳ类,23.9,7.16,4.7,598.3,20.3,2.82,0.065,0.103,9.32
Ⅱ类,27.5,8.0,8.78,393.2,148.3,2.55,0.057,0.007,3.54
Ⅲ类,26.4,8.0,7.07,427.7,81.8,4.07,0.183,0.047,4.56
Ⅱ类,27.7,8.0,10.03,533.1,6.0,2.92,0.22,0.044,2.94
Ⅴ类,29.6,7.68,2.21,1135.8,15.9,3.66,0.682,0.097,1.43
Ⅳ类,29.4,7.71,4.54,1153.8,25.5,5.1,0.65,0.188,2.98
劣Ⅵ类,27.9,7.47,0.34,1117.1,49.1,4.12,0.909,0.128,2.45
劣Ⅵ类,28.9,7.38,0.84,1061.5,16.4,3.96,0.522,0.077,2.46
Ⅱ类,30.2,7.67,6.96,270.5,2.1,1.48,0.059,0.006,0.87
劣Ⅵ类,28.0,7.46,0.01,898.2,31.6,4.23,1.557,0.163,2.44
Ⅳ类,26.1,7.5,3.07,827.1,33.7,3.69,0.135,0.165,5.4
Ⅳ类,28.5,7.65,3.59,1663.5,22.5,4.8,0.596,0.209,3.07
Ⅴ类,18.9,8.2,2.44,2071.8,43.9,4.44,0.016,0.066,0.76
Ⅴ类,28.2,7.62,2.1,1551.2,28.1,4.7,0.036,0.116,1.19
Ⅳ类,29.8,7.0,3.0,682.9,41.1,5.81,0.482,0.236,2.35
Ⅳ类,22.7,8.27,7.91,6523.5,237.6,8.27,0.01,0.21,1.24
劣Ⅵ类,20.1,7.3,1.94,1111.2,71.4,2.08,0.015,0.093,2.56
Ⅲ类,28.0,8.71,9.97,402.7,32.9,5.23,0.058,0.032,2.82
Ⅲ类,26.0,8.04,7.88,360.9,15.9,4.74,0.147,0.043,3.85
Ⅲ类,24.2,7.65,8.02,716.2,16.2,2.78,0.227,0.156,10.52
Ⅱ类,27.8,8.4,11.07,515.9,9.7,2.7,0.008,0.083,8.37
Ⅱ类,25.9,8.21,7.82,613.7,131.3,2.47,0.015,0.083,2.58
