水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.4,8.18,11.77,495.1,23.1,3.08,0.062,0.024,3.97
Ⅱ类,27.3,8.05,7.6,437.4,13.7,3.4,0.059,0.033,3.27
Ⅲ类,27.9,7.5,9.0,763.5,9.6,4.32,0.077,0.08,4.4
劣Ⅵ类,29.0,7.44,5.21,712.1,8.8,7.45,2.862,0.31,7.22
Ⅱ类,26.4,8.16,13.2,800.6,14.5,3.1,0.064,0.07,5.75
Ⅱ类,24.9,8.24,13.21,768.5,26.1,2.2,0.044,0.089,7.28
Ⅱ类,23.2,7.96,10.41,469.3,9.5,3.34,0.049,0.012,3.58
Ⅱ类,30.9,7.86,8.36,806.4,15.0,2.93,0.04,0.069,3.27
Ⅲ类,30.9,8.17,14.62,1093.0,6.6,3.5,0.001,0.137,5.27
Ⅲ类,31.9,8.1,12.24,1230.0,14.9,4.09,0.044,0.132,5.88
Ⅲ类,25.4,7.19,5.35,530.7,23.4,3.62,0.152,0.118,7.61
Ⅱ类,28.9,8.14,10.02,390.1,4.7,2.57,0.073,0.007,3.48
Ⅱ类,27.8,8.4,11.48,418.4,64.2,3.9,0.3,0.052,4.89
Ⅱ类,30.0,8.41,21.76,528.0,5.6,3.15,0.19,0.041,2.92
Ⅴ类,30.4,7.71,2.72,997.8,16.2,3.47,0.492,0.11,0.96
Ⅲ类,30.4,7.79,6.05,1213.1,24.1,4.54,0.786,0.197,2.62
Ⅳ类,29.8,7.63,3.18,881.6,39.9,3.63,1.083,0.157,2.63
劣Ⅵ类,30.3,7.41,1.16,1040.9,21.7,3.98,0.424,0.089,2.15
Ⅱ类,31.4,7.7,6.85,269.0,1.5,1.45,0.043,0.005,0.87
劣Ⅵ类,26.6,7.4,0.005,868.6,36.6,3.74,1.436,0.14,2.3
Ⅳ类,26.5,7.56,3.25,699.9,81.9,3.69,0.161,0.161,4.05
Ⅲ类,29.6,8.24,9.96,2000.6,17.5,4.92,0.165,0.168,2.45
Ⅳ类,19.0,8.23,4.68,2038.9,36.8,4.02,0.045,0.074,0.92
Ⅳ类,29.5,7.9,5.58,3557.7,1410.4,7.38,0.09,0.182,2.35
Ⅲ类,28.6,8.48,9.97,1575.9,32.2,4.74,0.064,0.127,1.21
Ⅴ类,30.3,7.02,2.75,765.0,75.5,5.19,0.429,0.186,2.34
Ⅳ类,24.4,8.65,9.08,6573.9,160.4,7.89,0.114,0.26,1.5
Ⅲ类,26.7,8.21,9.11,369.6,14.0,5.84,0.123,0.055,3.57
Ⅲ类,24.4,7.77,9.01,745.5,18.3,2.76,0.169,0.153,10.99
Ⅱ类,24.7,7.64,6.82,524.5,41.7,1.87,0.088,0.087,8.35
Ⅱ类,22.5,7.91,6.57,1125.9,42.9,1.35,0.36,0.041,4.92
Ⅰ类,31.1,8.71,9.17,283.3,2.0,1.83,0.036,0.009,0.86
Ⅲ类,30.2,7.81,7.43,584.3,75.7,4.55,0.041,0.108,3.36
Ⅳ类,29.7,7.57,7.95,786.1,20.4,5.56,0.195,0.29,4.95
Ⅱ类,20.0,7.89,8.83,506.4,73.9,3.83,0.045,0.081,5.49
Ⅱ类,32.3,6.99,6.89,45313.9,5.1,2.04,0.073,0.037,1.21
Ⅲ类,32.0,8.5,13.22,927.8,23.5,4.71,0.494,0.087,3.3
Ⅳ类,29.7,7.46,3.04,1000.8,107.5,6.05,0.046,0.213,9.91
Ⅴ类,29.7,7.55,2.97,764.2,113.2,6.51,1.596,0.366,7.17
Ⅳ类,25.3,8.02,8.3,977.4,2741.1,5.3,0.668,0.204,4.39
Ⅳ类,29.9,8.16,8.46,13862.4,89.6,6.12,1.025,0.139,2.87
Ⅳ类,30.5,8.89,10.69,3936.6,32.7,7.8,0.016,0.237,1.33
Ⅳ类,29.6,8.01,13.52,887.4,3.0,8.03,0.004,0.098,0.98
Ⅱ类,27.1,7.74,7.31,522.6,19.6,3.59,0.034,0.073,4.6
Ⅱ类,30.6,7.83,6.13,874.4,19.9,3.69,0.043,0.044,0.49
Ⅳ类,33.1,8.44,22.67,689.6,14.1,4.59,0.557,0.229,3.24
Ⅲ类,31.4,8.67,12.86,835.0,3.6,4.52,0.01,0.074,0.55
Ⅲ类,31.2,8.48,9.93,1593.6,29.5,5.13,0.042,0.028,0.66
Ⅱ类,32.3,8.18,6.44,331.1,4.0,2.22,0.063,0.012,0.75
Ⅳ类,29.5,7.52,4.44,681.9,6.1,4.62,0.014,0.028,0.7
Ⅲ类,24.0,8.36,7.02,1143.1,12.1,4.14,0.227,0.081,1.0
Ⅳ类,26.3,8.76,10.33,752.5,88.7,6.87,0.007,0.141,1.72
劣Ⅵ类,26.1,7.84,1.47,1499.2,545.0,4.13,0.925,0.221,10.52
Ⅱ类,27.0,8.29,8.47,652.3,47.0,2.4,0.006,0.049,3.41
Ⅲ类,27.4,7.74,5.38,478.7,28.9,3.29,0.006,0.053,1.81
Ⅳ类,23.8,7.67,3.39,662.5,8.1,3.18,0.221,0.029,1.06
Ⅲ类,27.7,7.8,7.06,680.8,52.6,4.55,0.011,0.095,3.99
Ⅱ类,21.8,8.3,8.69,687.5,43.6,2.19,0.031,0.032,4.89
Ⅲ类,25.0,8.24,8.78,710.3,22.8,4.14,0.014,0.102,2.31
Ⅲ类,22.9,8.33,7.17,560.5,28.0,4.66,0.004,0.045,1.48
Ⅴ类,29.6,8.55,17.99,1133.8,90.5,11.76,0.006,0.173,6.14
Ⅲ类,25.5,7.5,13.3,1370.6,22.4,3.96,0.066,0.17,7.68
Ⅳ类,30.5,8.34,5.96,4465.7,386.3,6.49,0.186,0.279,11.25
Ⅴ类,28.4,7.24,2.67,1268.6,49.4,5.1,0.297,0.297,4.88
Ⅲ类,23.1,8.36,7.23,747.4,425.2,4.83,0.014,0.192,4.53
Ⅳ类,29.4,8.51,5.91,792.0,523.8,5.35,0.002,0.233,5.88
Ⅲ类,20.2,8.29,7.85,442.9,379.1,4.63,0.006,0.144,8.36
劣Ⅵ类,21.6,8.31,7.27,536.9,1560.3,9.24,0.019,0.449,9.81
Ⅳ类,29.1,7.73,3.61,986.5,241.8,4.15,0.295,0.071,6.86
Ⅳ类,27.3,8.35,7.3,764.9,669.0,5.54,1.026,0.157,7.34
Ⅲ类,21.0,8.02,6.36,573.4,132.2,2.99,0.025,0.142,3.99
Ⅴ类,25.1,8.29,6.94,609.0,1062.6,4.73,0.017,0.372,3.53
Ⅲ类,26.6,8.28,6.91,693.8,90.3,3.51,0.281,0.156,5.66
Ⅱ类,23.7,8.67,8.21,685.5,49.4,3.91,0.004,0.056,5.77
Ⅱ类,20.8,8.04,8.44,488.2,26.2,2.28,0.084,0.002,2.7
Ⅲ类,27.9,7.82,5.26,709.5,57.7,4.38,0.32,0.146,3.5
Ⅴ类,26.0,8.75,14.6,1069.4,56.6,13.2,0.242,0.315,8.74
Ⅱ类,24.7,8.21,7.18,851.4,96.3,1.34,0.058,0.028,1.34
Ⅳ类,26.2,8.58,7.2,2689.8,43.1,6.09,0.094,0.057,1.25
Ⅱ类,28.0,8.31,7.86,876.4,524.6,2.67,0.221,0.06,0.18
Ⅳ类,25.8,7.17,5.14,828.4,9.4,4.72,1.341,0.184,8.26
Ⅱ类,27.7,7.54,7.11,277.7,6.3,2.15,0.007,0.07,5.75
Ⅲ类,29.3,8.37,12.3,348.3,32.4,4.58,0.024,0.179,1.81
Ⅲ类,28.9,8.39,11.05,534.7,10.7,4.33,0.003,0.096,4.92
Ⅲ类,27.7,7.74,6.82,634.8,3.4,4.23,0.028,0.089,4.78
Ⅰ类,29.6,8.93,12.64,146.1,5.0,1.66,0.0001,0.016,1.6
劣Ⅵ类,27.2,9.19,14.02,275.1,17.6,1.76,0.022,0.024,4.9
