水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.6,7.96,8.16,489.0,16.7,3.11,0.068,0.032,3.7
Ⅱ类,26.0,7.84,6.78,449.9,21.0,3.28,0.041,0.034,3.26
Ⅲ类,28.0,7.38,9.79,814.1,8.1,4.52,0.065,0.071,5.04
Ⅴ类,29.0,7.32,2.16,672.7,2.5,5.99,1.105,0.226,7.27
Ⅱ类,25.7,7.75,7.54,783.7,11.5,2.82,0.006,0.07,4.75
Ⅱ类,23.1,7.84,8.3,788.2,21.2,2.68,0.041,0.095,7.81
Ⅱ类,23.1,7.84,8.98,468.4,2.6,3.63,0.058,0.018,3.88
Ⅱ类,29.9,7.82,7.96,799.9,14.9,3.21,0.034,0.064,3.14
Ⅲ类,30.2,7.77,5.7,1089.9,6.1,3.22,0.012,0.121,5.61
Ⅲ类,31.7,8.0,8.77,1230.0,19.8,4.2,0.034,0.134,5.97
Ⅳ类,25.3,7.19,4.93,573.0,26.8,3.23,0.065,0.111,8.87
Ⅱ类,28.2,8.1,9.49,390.7,2.7,2.15,0.06,0.007,3.51
Ⅲ类,27.6,8.22,9.51,420.9,51.8,4.31,0.242,0.062,4.71
Ⅱ类,28.3,8.2,14.12,530.8,6.1,3.36,0.22,0.045,2.94
Ⅴ类,30.1,7.69,2.81,1096.2,24.4,4.06,0.672,0.105,0.96
Ⅲ类,30.1,7.66,5.32,1210.0,21.6,5.2,0.617,0.19,2.78
Ⅴ类,30.0,7.59,2.61,955.1,43.5,3.44,0.744,0.142,2.28
劣Ⅵ类,30.0,7.31,0.22,1049.1,12.6,4.11,0.638,0.084,2.47
Ⅱ类,31.2,7.69,6.7,271.2,4.8,1.49,0.053,0.004,0.86
劣Ⅵ类,26.9,7.43,0.004,886.5,32.6,4.02,1.711,0.169,2.48
Ⅳ类,26.6,7.61,3.89,640.4,30.7,3.21,0.013,0.136,4.89
Ⅲ类,29.0,7.79,5.16,1856.1,16.4,5.2,0.306,0.195,2.77
Ⅲ类,18.9,8.47,5.73,2038.3,37.0,4.4,0.024,0.07,0.76
Ⅳ类,28.6,7.7,3.86,9875.9,303.6,6.69,0.051,0.154,2.98
Ⅴ类,28.1,7.68,2.08,1580.3,30.7,5.19,0.035,0.118,1.14
Ⅴ类,30.1,7.0,2.56,724.1,31.8,5.01,0.553,0.187,2.32
Ⅳ类,23.0,8.48,13.26,6524.3,52.4,8.06,0.06,0.205,1.27
Ⅲ类,26.0,8.08,8.48,366.0,13.6,4.87,0.117,0.049,3.77
Ⅲ类,24.2,7.74,8.37,729.3,15.0,2.82,0.167,0.146,10.7
Ⅱ类,24.5,7.61,6.68,517.4,32.1,1.79,0.174,0.087,8.15
Ⅱ类,27.0,8.25,7.37,601.3,167.6,2.68,0.025,0.091,2.58
Ⅱ类,22.7,7.92,6.12,1151.9,40.5,1.35,0.423,0.035,4.89
Ⅰ类,30.0,8.63,8.1,290.7,1.9,1.94,0.021,0.008,0.88
劣Ⅵ类,28.1,7.25,2.13,686.1,98.6,7.64,3.207,0.307,8.38
Ⅲ类,30.2,7.94,7.8,582.1,50.6,4.93,0.028,0.106,3.33
