水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,23.8,7.66,5.44,533.2,12.9,2.89,0.058,0.029,4.18
Ⅲ类,28.0,7.36,6.52,797.7,5.7,4.58,0.193,0.081,5.3
Ⅴ类,26.9,7.28,2.95,745.8,3.1,4.44,0.24,0.144,7.15
Ⅳ类,22.5,7.57,4.56,803.0,21.9,2.57,0.072,0.085,8.01
Ⅱ类,22.8,7.97,9.37,465.9,3.5,3.45,0.051,0.015,4.14
Ⅳ类,29.1,7.51,3.91,802.4,13.2,3.24,0.032,0.053,2.84
Ⅴ类,28.7,7.54,2.69,1035.8,26.0,3.22,0.036,0.118,5.69
Ⅳ类,29.4,7.65,3.64,1194.2,16.4,4.13,0.055,0.143,5.9
Ⅳ类,24.1,7.16,4.63,597.9,20.7,2.82,0.065,0.103,9.32
Ⅱ类,27.8,8.11,9.14,390.2,3.3,2.55,0.057,0.007,3.54
Ⅲ类,26.9,8.08,8.07,422.0,65.2,4.07,0.183,0.047,4.56
Ⅱ类,27.7,7.99,9.64,532.2,5.7,2.92,0.22,0.044,2.94
Ⅴ类,29.8,7.69,2.11,1135.0,16.7,3.66,0.682,0.097,1.43
Ⅳ类,29.6,7.67,4.37,1196.8,22.4,5.1,0.65,0.188,2.98
Ⅴ类,29.3,7.55,2.5,1032.8,48.2,4.12,0.909,0.128,2.45
劣Ⅵ类,29.3,7.42,1.3,1097.7,33.0,3.96,0.522,0.077,2.46
Ⅱ类,30.2,7.68,6.18,268.3,3.4,1.48,0.059,0.006,0.87
劣Ⅵ类,28.0,7.44,0.01,904.9,29.5,4.23,1.557,0.163,2.44
Ⅴ类,26.3,7.49,2.84,771.3,37.8,3.69,0.135,0.165,5.4
Ⅳ类,28.6,7.66,4.0,1689.0,18.5,4.8,0.596,0.209,3.07
Ⅳ类,18.7,8.33,3.87,2039.0,41.0,4.44,0.016,0.066,0.76
Ⅴ类,28.3,7.62,2.13,1543.1,30.0,4.7,0.036,0.116,1.19
Ⅴ类,29.8,6.98,2.67,687.3,54.8,5.81,0.482,0.236,2.35
Ⅳ类,22.5,8.28,8.45,6520.5,294.5,8.27,0.01,0.21,1.24
劣Ⅵ类,20.1,7.3,1.96,1122.4,72.0,2.08,0.015,0.093,2.56
Ⅲ类,28.2,8.73,10.34,402.3,39.4,5.23,0.006,0.036,2.75
Ⅲ类,26.3,8.17,8.49,366.2,14.2,4.74,0.147,0.043,3.85
Ⅲ类,24.2,7.65,7.66,717.0,16.1,2.78,0.227,0.156,10.52
Ⅱ类,24.2,7.59,6.28,513.8,36.0,1.41,0.254,0.089,8.41
Ⅱ类,28.2,8.53,11.79,511.4,9.3,2.7,0.008,0.083,8.37
Ⅱ类,25.6,8.21,7.68,617.1,121.1,2.47,0.015,0.083,2.58
Ⅲ类,23.8,7.81,5.79,1308.9,43.1,2.5,0.689,0.054,5.88
Ⅰ类,29.9,8.54,8.09,293.0,3.0,1.91,0.027,0.008,0.89
Ⅴ类,27.0,7.21,2.79,844.2,55.8,8.25,1.982,0.299,6.78
Ⅲ类,30.0,7.73,6.67,581.4,42.3,4.81,0.024,0.099,3.27
Ⅱ类,20.8,7.87,8.45,505.0,57.8,3.56,0.035,0.071,5.4
Ⅲ类,31.6,6.89,5.09,45128.8,1.6,2.12,0.065,0.033,1.2
Ⅲ类,30.6,7.75,6.7,871.5,19.4,4.48,0.228,0.066,3.16
劣Ⅵ类,27.8,7.35,2.33,769.0,19.4,7.23,4.373,0.342,11.14
Ⅴ类,28.4,7.49,2.47,677.3,63.9,5.69,1.813,0.262,8.06
劣Ⅵ类,21.4,8.32,6.06,1184.4,1275.5,8.8,0.001,0.702,16.23
Ⅳ类,28.3,8.0,5.31,14973.9,89.7,6.88,1.145,0.142,3.8
Ⅳ类,29.0,8.59,4.19,4097.2,26.3,6.7,0.046,0.212,1.35
Ⅲ类,27.2,7.67,5.96,511.7,15.4,3.6,0.09,0.069,4.47
Ⅲ类,29.6,7.73,5.17,744.5,16.3,3.5,0.035,0.038,0.33
劣Ⅵ类,29.0,7.12,0.29,765.2,11.6,4.15,0.338,0.135,3.62
Ⅲ类,30.6,8.26,5.93,836.6,2.1,4.52,0.01,0.064,0.49
Ⅲ类,30.4,8.35,6.81,1592.2,33.2,5.07,0.033,0.027,0.66
Ⅲ类,31.0,7.85,5.4,333.1,3.1,2.18,0.065,0.011,0.79
Ⅲ类,30.2,7.56,5.13,675.5,5.7,4.62,0.014,0.03,0.7
Ⅰ类,25.4,8.34,9.1,733.2,4.4,1.86,0.009,0.003,1.51
Ⅲ类,23.5,8.26,7.21,1155.1,10.6,4.07,0.281,0.089,0.94
Ⅲ类,23.8,8.24,5.45,769.5,76.5,5.9,0.016,0.131,1.63
Ⅴ类,23.8,7.87,5.35,1669.9,42.6,5.19,1.889,0.26,8.78
Ⅱ类,26.5,8.23,7.82,664.8,38.5,2.44,0.001,0.042,3.54
Ⅳ类,26.4,7.59,3.87,474.6,32.0,3.46,0.05,0.049,1.78
Ⅴ类,23.3,7.63,2.74,661.0,7.2,3.18,0.259,0.029,1.06
Ⅴ类,24.5,7.47,2.68,653.1,57.5,4.81,0.441,0.148,4.69
Ⅲ类,25.2,7.84,5.87,506.6,15.5,2.53,0.018,0.018,1.62
Ⅱ类,19.4,8.29,8.59,675.9,47.0,2.36,0.021,0.033,5.01
Ⅰ类,25.5,8.17,7.83,536.3,15.2,1.47,0.048,0.005,3.11
Ⅲ类,24.4,7.95,5.72,712.4,24.0,3.69,0.126,0.094,2.34
Ⅲ类,20.8,8.23,7.57,569.8,46.8,4.78,0.01,0.055,1.43
劣Ⅵ类,24.8,7.6,2.42,976.1,111.5,6.06,3.433,0.411,10.78
劣Ⅵ类,24.4,7.84,6.44,1012.8,2295.6,20.32,0.06,0.097,6.12
Ⅳ类,23.1,7.38,4.62,1428.0,28.8,3.93,0.056,0.189,6.94
劣Ⅵ类,24.2,7.48,0.86,558.7,282.4,7.73,2.66,0.35,5.58
Ⅲ类,19.7,8.39,8.22,743.5,285.8,3.32,0.014,0.111,4.43
Ⅴ类,23.4,8.39,5.93,787.5,1898.0,8.32,0.005,0.352,4.85
Ⅲ类,17.2,8.09,7.58,448.6,151.6,4.1,0.016,0.068,5.39
Ⅳ类,19.5,8.21,7.15,553.9,499.7,4.58,0.079,0.208,5.83
Ⅳ类,27.4,7.79,3.98,957.5,419.4,4.39,0.1,0.059,6.3
Ⅲ类,18.6,8.03,6.37,589.8,137.5,2.66,0.019,0.127,4.87
Ⅲ类,19.0,8.3,9.16,465.7,1687.7,2.98,0.007,0.129,3.66
