水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅲ类,23.9,7.66,5.87,531.3,12.5,2.89,0.074,0.029,4.18
Ⅲ类,28.1,7.36,6.44,797.0,5.3,4.58,0.606,0.081,5.3
Ⅳ类,26.8,7.3,3.29,745.3,2.6,4.44,0.181,0.144,7.15
Ⅱ类,22.6,7.9,8.59,842.8,3.5,2.4,0.002,0.05,6.47
Ⅲ类,22.8,7.6,5.38,797.0,22.5,2.57,0.068,0.085,8.01
Ⅱ类,22.9,8.09,10.58,462.9,28.9,3.41,0.052,0.014,3.74
Ⅳ类,29.1,7.52,3.82,808.4,10.3,3.24,0.044,0.057,2.84
Ⅴ类,28.9,7.55,2.77,1107.9,7.1,3.22,0.071,0.118,5.69
Ⅳ类,29.0,7.63,3.54,1199.2,16.5,4.13,0.093,0.143,5.9
Ⅳ类,23.9,7.26,4.69,599.1,20.8,2.82,0.072,0.103,9.32
Ⅱ类,27.7,8.07,8.82,391.5,123.5,2.55,0.072,0.011,3.54
Ⅲ类,26.2,8.06,7.31,428.1,88.3,4.07,0.337,0.047,4.56
Ⅱ类,27.7,7.96,9.16,533.0,5.6,2.92,0.219,0.044,2.94
Ⅴ类,29.6,7.7,2.43,1139.6,16.6,3.66,0.682,0.097,1.43
Ⅴ类,28.3,7.38,2.16,1039.6,26.9,5.1,0.65,0.188,2.98
劣Ⅵ类,28.8,7.5,0.8,1083.8,38.0,4.12,3.458,0.411,2.45
劣Ⅵ类,29.2,7.41,1.27,1091.8,21.4,3.96,0.522,0.077,2.46
Ⅱ类,30.3,7.67,6.59,270.3,2.3,1.48,0.074,0.006,0.87
劣Ⅵ类,28.0,7.47,0.01,905.4,31.1,4.23,1.557,0.163,2.44
Ⅰ类,30.7,8.32,9.3,254.3,7.1,1.96,0.041,0.012,0.8
Ⅳ类,26.2,7.49,4.66,840.1,36.0,3.69,0.135,0.165,5.4
Ⅳ类,28.4,7.64,3.49,1663.6,20.6,5.5,0.512,0.224,3.1
Ⅴ类,19.2,8.14,2.21,2054.5,44.9,4.44,0.036,0.066,0.76
Ⅴ类,28.0,7.55,2.1,1505.1,24.8,4.7,0.082,0.118,1.1
Ⅴ类,29.8,7.08,2.97,683.0,36.2,5.09,0.411,0.185,2.19
Ⅳ类,22.5,8.32,9.93,6517.1,124.0,8.4,0.019,0.209,1.23
劣Ⅵ类,20.0,7.29,1.85,1101.5,73.1,2.08,0.024,0.093,2.56
Ⅲ类,27.8,8.65,9.17,405.7,8.4,4.85,0.058,0.032,2.82
Ⅲ类,26.0,8.05,8.38,362.4,15.1,4.9,0.169,0.054,3.82
Ⅲ类,24.3,7.65,7.64,721.0,16.1,2.78,0.252,0.156,10.52
