水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,23.9,8.05,10.58,499.5,22.9,3.08,0.062,0.024,3.97
Ⅱ类,27.2,8.06,7.58,437.4,11.8,3.4,0.059,0.033,3.27
Ⅲ类,27.9,7.52,8.74,755.9,10.5,4.32,0.077,0.08,4.4
劣Ⅵ类,28.7,7.41,5.56,665.7,7.5,7.45,2.862,0.31,7.22
Ⅱ类,25.7,8.08,12.39,788.9,13.9,3.1,0.064,0.07,5.75
Ⅱ类,24.2,8.12,12.34,776.4,21.3,2.2,0.044,0.089,7.28
Ⅱ类,22.9,8.0,10.51,469.3,6.9,3.34,0.049,0.012,3.58
Ⅱ类,30.4,7.76,6.76,809.3,14.1,2.93,0.04,0.069,3.27
Ⅲ类,30.5,8.11,13.15,1096.4,7.0,3.5,0.001,0.137,5.27
Ⅲ类,31.1,7.98,10.16,1231.2,17.1,4.09,0.044,0.132,5.88
Ⅳ类,24.8,7.16,4.99,511.9,22.4,3.62,0.152,0.118,7.61
Ⅱ类,29.3,8.18,9.89,390.5,5.3,2.57,0.073,0.007,3.48
Ⅱ类,27.1,8.35,10.51,417.0,54.8,3.9,0.3,0.052,4.89
Ⅱ类,29.5,8.38,20.63,532.4,5.7,3.15,0.19,0.041,2.92
Ⅴ类,30.2,7.71,2.52,951.1,19.8,3.47,0.492,0.11,0.96
Ⅲ类,30.1,7.72,5.06,1182.1,25.0,4.54,0.786,0.197,2.62
Ⅳ类,30.3,7.63,3.26,893.6,34.9,3.63,1.083,0.157,2.63
劣Ⅵ类,30.5,7.43,1.7,1000.4,17.7,3.98,0.424,0.089,2.15
Ⅱ类,31.4,7.72,6.88,270.4,1.7,1.45,0.043,0.005,0.87
劣Ⅵ类,27.0,7.41,0.003,871.3,33.8,3.74,1.436,0.14,2.3
Ⅳ类,26.8,7.57,3.46,734.5,97.9,3.69,0.161,0.161,4.05
Ⅲ类,29.5,8.29,10.36,2292.1,20.1,4.92,0.165,0.168,2.45
Ⅳ类,19.0,8.14,3.97,2028.7,42.3,4.02,0.045,0.074,0.92
Ⅳ类,28.4,7.86,4.96,3758.4,1402.6,7.38,0.09,0.182,2.35
Ⅳ类,28.0,7.76,3.18,1552.0,23.7,4.74,0.064,0.127,1.21
Ⅴ类,30.2,7.09,2.98,989.6,69.8,5.19,0.429,0.186,2.34
Ⅳ类,24.9,8.62,7.9,6582.2,111.1,7.89,0.114,0.26,1.5
Ⅲ类,27.1,8.28,9.95,371.6,12.7,5.84,0.123,0.055,3.57
Ⅲ类,24.3,7.73,8.17,740.5,18.2,2.76,0.169,0.153,10.99
Ⅱ类,24.5,7.65,6.84,524.4,43.0,1.87,0.088,0.087,8.35
Ⅱ类,22.6,7.88,6.61,1113.8,39.5,1.35,0.36,0.041,4.92
Ⅰ类,31.2,8.74,9.66,284.2,2.7,1.83,0.036,0.009,0.86
Ⅲ类,29.8,7.68,6.75,592.5,73.2,4.55,0.041,0.108,3.36
Ⅳ类,29.5,7.56,7.86,771.3,17.6,5.56,0.195,0.29,4.95
Ⅱ类,19.9,7.88,8.8,504.0,82.1,3.83,0.045,0.081,5.49
Ⅱ类,32.6,7.03,7.49,45517.3,5.7,2.04,0.073,0.037,1.21
Ⅲ类,31.8,8.3,10.77,940.8,21.2,4.71,0.494,0.087,3.3
Ⅴ类,29.8,7.5,2.79,1424.0,71.2,6.05,0.046,0.213,9.91
Ⅴ类,29.1,7.52,2.96,717.1,146.3,6.51,1.596,0.366,7.17
Ⅳ类,24.1,8.14,6.21,993.9,2630.7,5.9,0.006,0.254,9.5
Ⅳ类,24.6,8.03,9.06,974.3,3798.4,5.3,0.668,0.204,4.39
Ⅳ类,29.6,8.08,6.81,13119.6,167.5,6.12,1.025,0.139,2.87
Ⅳ类,30.8,8.91,10.91,3910.1,31.4,7.8,0.016,0.237,1.33
Ⅳ类,29.5,7.95,10.99,889.3,3.5,8.03,0.004,0.098,0.98
Ⅱ类,26.9,7.73,7.16,522.9,22.3,3.59,0.034,0.073,4.6
Ⅱ类,30.7,7.88,6.41,803.2,20.4,3.69,0.043,0.044,0.49
