水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅳ类,26.8,8.35,7.36,764.5,557.9,5.54,1.026,0.157,7.34
Ⅲ类,21.0,8.0,6.15,568.6,144.6,2.99,0.025,0.142,3.99
Ⅴ类,24.8,8.29,7.19,605.4,1331.1,4.73,0.017,0.372,3.53
Ⅲ类,27.1,8.27,7.01,688.5,61.4,3.51,0.281,0.156,5.66
Ⅱ类,23.4,8.67,7.96,668.0,42.1,3.91,0.004,0.056,5.77
Ⅱ类,20.4,8.0,7.65,491.2,25.7,2.28,0.084,0.002,2.7
Ⅲ类,27.9,7.79,5.0,712.2,50.7,4.38,0.32,0.146,3.5
Ⅴ类,26.0,8.84,14.69,1062.9,56.5,13.2,0.242,0.315,8.74
Ⅱ类,24.6,8.2,7.16,848.8,93.1,1.34,0.058,0.028,1.34
Ⅳ类,26.2,8.58,7.2,2689.8,43.1,6.09,0.094,0.057,1.25
Ⅱ类,27.9,8.31,7.88,878.5,538.8,2.67,0.221,0.06,0.18
Ⅳ类,26.1,7.22,5.04,816.7,13.6,4.72,1.341,0.184,8.26
Ⅱ类,27.8,7.58,7.32,276.2,8.3,2.15,0.007,0.07,5.75
Ⅲ类,29.4,8.34,12.12,348.4,31.8,4.58,0.024,0.179,1.81
Ⅲ类,28.9,8.38,11.5,537.1,18.2,4.33,0.003,0.096,4.92
Ⅲ类,27.6,7.68,6.08,634.9,3.7,4.23,0.028,0.089,4.78
Ⅰ类,29.5,8.71,11.51,146.3,4.9,1.66,0.0001,0.016,1.6
劣Ⅵ类,27.0,9.14,14.33,277.3,20.3,1.76,0.022,0.024,4.9
Ⅳ类,22.0,7.23,8.32,205.4,66.8,4.02,0.131,0.227,3.51
Ⅱ类,22.4,7.58,7.98,246.5,31.0,2.5,0.027,0.054,8.16
Ⅱ类,18.5,8.03,12.77,259.5,21.9,2.32,0.041,0.045,4.37
Ⅱ类,18.6,7.71,7.78,346.9,28.5,2.54,0.117,0.078,4.92
Ⅱ类,19.4,7.75,9.2,209.9,28.0,2.21,0.02,0.045,4.13
Ⅰ类,24.5,8.23,11.28,215.4,2.7,1.14,0.004,0.01,6.95
Ⅲ类,21.4,7.19,5.6,161.3,9.0,0.97,0.007,0.024,2.88
Ⅱ类,22.7,7.69,11.92,155.2,11.4,1.42,0.066,0.044,4.22
Ⅲ类,27.3,7.96,6.3,659.8,88.4,4.27,0.148,0.165,5.2
Ⅱ类,25.4,8.53,14.54,465.2,9.3,2.97,0.051,0.066,2.0
Ⅲ类,24.6,7.81,7.39,594.8,24.6,3.01,0.125,0.125,4.48
Ⅰ类,27.5,8.91,11.77,242.1,6.5,1.5,0.015,0.02,5.21
Ⅴ类,27.5,7.56,2.02,521.7,40.4,6.38,0.199,0.11,4.92
Ⅲ类,21.8,7.34,5.75,352.5,445.2,4.33,0.199,0.158,4.23
Ⅱ类,22.9,8.2,12.29,411.2,8.7,1.19,0.026,0.029,2.84
Ⅱ类,26.6,8.4,8.99,755.3,28.2,2.75,0.001,0.07,8.61
Ⅲ类,24.0,8.15,8.59,844.6,142.3,3.88,0.072,0.129,14.1
Ⅲ类,23.6,7.52,7.75,580.4,6.3,2.32,0.049,0.101,8.1
Ⅲ类,29.4,8.1,9.56,929.3,22.7,3.22,0.052,0.192,8.41
Ⅲ类,23.7,8.0,5.71,297.3,43.8,3.26,0.047,0.045,1.5
Ⅲ类,21.0,6.98,8.32,167.3,153.2,5.51,0.27,0.167,4.83
Ⅳ类,20.2,7.55,4.75,367.7,175.2,6.59,0.005,0.263,4.74
Ⅳ类,19.1,7.2,9.43,164.9,237.7,5.28,0.128,0.202,8.15
Ⅳ类,23.1,6.83,4.72,170.7,165.7,7.05,0.11,0.212,5.21
Ⅳ类,19.6,7.11,9.3,161.0,289.5,5.19,0.115,0.204,7.13
Ⅲ类,23.5,6.76,8.38,138.6,31.0,5.1,0.03,0.118,3.6
Ⅲ类,25.4,7.85,7.81,415.9,109.2,4.28,0.008,0.122,1.69
Ⅱ类,20.7,7.73,10.17,106.1,32.8,2.39,0.015,0.03,2.45
Ⅱ类,16.3,7.72,10.24,97.5,22.1,3.71,0.08,0.074,1.65
Ⅱ类,10.4,7.92,7.58,287.5,12.5,0.86,0.002,0.021,1.96
Ⅲ类,25.1,6.74,7.33,204.2,41.8,4.79,0.113,0.101,3.67
Ⅳ类,26.7,7.14,6.33,122.6,45.9,8.75,0.201,0.117,2.06
Ⅳ类,16.2,7.6,10.32,80.5,33.2,9.37,0.023,0.056,1.34
Ⅲ类,23.2,7.66,7.81,228.3,70.2,3.46,0.022,0.11,2.4
Ⅲ类,22.2,6.93,8.48,105.6,28.3,5.4,0.036,0.079,1.32
Ⅱ类,14.5,7.83,10.42,214.6,20.7,1.1,0.051,0.07,0.76
Ⅳ类,28.4,7.04,6.17,134.5,76.2,7.16,0.061,0.201,2.97
Ⅳ类,26.8,7.12,3.0,195.0,167.2,6.8,0.103,0.195,3.52
Ⅳ类,27.6,7.33,6.73,260.3,157.7,8.54,0.19,0.208,2.69
Ⅳ类,27.5,7.17,3.24,194.3,101.2,5.54,0.12,0.088,6.2
Ⅳ类,23.7,7.32,7.87,97.7,139.4,7.92,0.006,0.079,1.19
Ⅳ类,29.3,6.73,4.95,174.1,219.4,9.04,0.176,0.161,2.11
Ⅲ类,24.1,8.04,10.48,257.6,19.6,5.91,0.024,0.084,1.06
Ⅳ类,29.1,7.12,6.71,98.0,69.5,8.74,0.101,0.155,0.85
Ⅴ类,25.3,7.63,8.52,98.6,47.9,12.24,0.056,0.037,0.47
Ⅳ类,30.9,7.65,6.87,256.0,50.4,7.11,0.084,0.174,0.94
Ⅴ类,25.8,7.41,9.03,90.7,12.8,10.93,0.014,0.053,2.04
Ⅴ类,27.0,8.22,8.75,98.5,42.5,11.26,0.017,0.069,0.7
Ⅱ类,25.2,7.2,8.53,124.5,17.7,3.89,0.003,0.063,2.72
Ⅳ类,25.2,7.18,6.47,180.3,194.4,6.98,0.07,0.172,3.37
Ⅳ类,25.2,7.1,8.46,88.6,13.2,7.52,0.005,0.057,2.35
Ⅲ类,27.9,6.87,6.16,189.8,68.6,5.69,0.037,0.166,3.23
Ⅳ类,26.1,7.36,7.34,77.4,22.6,9.12,0.055,0.049,0.8
Ⅳ类,26.1,6.84,7.28,170.2,68.2,6.1,0.129,0.089,2.4
Ⅴ类,21.8,6.97,5.62,118.8,113.0,6.03,0.106,0.104,2.93
Ⅳ类,19.0,7.22,8.56,59.4,7.5,7.8,0.03,0.029,0.33
劣Ⅵ类,32.4,7.4,1.71,497.3,29.4,4.4,0.607,0.228,2.9
Ⅳ类,31.9,7.23,3.6,507.4,45.7,4.6,0.267,0.199,2.47
Ⅳ类,32.6,7.58,3.46,581.0,90.1,3.95,0.018,0.163,2.13
劣Ⅵ类,32.0,7.3,1.88,540.5,26.4,4.81,0.493,0.256,3.81
Ⅴ类,33.3,7.35,2.92,512.3,49.3,3.71,0.075,0.121,1.87
劣Ⅵ类,30.7,7.43,1.24,540.1,19.6,3.47,0.414,0.155,2.9
劣Ⅵ类,31.4,7.24,1.54,522.5,71.8,3.75,0.572,0.199,3.24
Ⅴ类,31.8,7.31,2.63,515.0,41.4,4.2,0.566,0.261,2.4
劣Ⅵ类,31.4,7.44,0.96,427.9,61.6,3.03,0.611,0.138,1.97
Ⅳ类,32.4,7.6,3.91,585.3,67.1,3.77,0.039,0.175,2.28
Ⅴ类,33.0,7.44,2.64,543.9,32.0,4.42,0.016,0.098,2.03
Ⅱ类,32.2,8.07,10.3,519.0,14.9,3.31,0.025,0.099,1.91
Ⅳ类,32.9,7.27,3.0,395.1,32.1,3.54,0.078,0.072,1.79
Ⅴ类,32.0,7.53,2.51,564.5,40.1,4.17,0.106,0.171,1.94
Ⅲ类,28.6,7.55,6.26,587.1,90.8,5.35,0.004,0.12,1.28
Ⅲ类,32.7,8.07,6.44,372.8,20.6,2.42,0.007,0.103,1.25
Ⅳ类,25.0,7.4,4.36,383.9,12.6,5.06,0.628,0.098,1.66
劣Ⅵ类,30.0,7.02,0.96,439.6,33.4,5.42,0.949,0.164,2.43
劣Ⅵ类,29.9,7.31,0.92,422.7,11.4,6.28,0.862,0.151,2.6
Ⅲ类,32.9,8.6,8.07,444.3,21.8,2.17,0.012,0.031,0.5
Ⅳ类,31.8,8.95,9.07,429.0,55.7,3.63,0.021,0.066,0.81
Ⅲ类,34.1,8.87,5.0,534.2,24.9,3.6,0.25,0.066,1.0
Ⅳ类,32.1,7.41,3.09,437.6,43.2,3.71,0.105,0.136,2.34
Ⅴ类,31.9,7.32,2.23,450.8,64.8,5.32,0.078,0.129,1.9
Ⅳ类,32.7,7.08,4.55,385.2,23.3,2.13,0.154,0.142,2.34
Ⅱ类,33.5,7.8,6.69,337.2,28.0,1.95,0.092,0.07,1.98
Ⅱ类,30.1,7.56,8.72,153.0,1.6,2.17,0.023,0.022,2.2
Ⅳ类,31.9,7.09,3.39,367.9,45.8,4.02,0.198,0.095,2.52
Ⅱ类,30.0,7.74,6.07,287.6,33.8,2.04,0.028,0.1,1.67
Ⅲ类,33.3,8.65,8.91,489.0,22.5,3.67,0.17,0.11,1.35
劣Ⅵ类,29.4,9.35,27.38,390.5,13.4,5.12,0.015,0.15,4.91
Ⅳ类,28.4,7.29,5.06,664.8,16.3,3.57,0.318,0.216,6.83
劣Ⅵ类,30.5,7.57,1.87,1361.8,28.2,5.54,0.032,0.098,1.4
Ⅲ类,30.3,8.82,12.48,1373.5,3.1,4.7,0.016,0.058,0.61
Ⅲ类,30.6,8.71,11.84,1176.6,6.1,5.05,0.012,0.05,0.68
Ⅳ类,30.9,8.48,13.99,1413.5,19.4,6.96,0.1,0.095,1.22
Ⅲ类,30.1,7.62,5.14,1042.3,6.8,2.88,0.105,0.12,2.63
Ⅳ类,30.3,7.35,3.77,455.0,23.5,5.76,0.746,0.228,3.15
Ⅴ类,28.4,7.78,7.87,827.5,42.3,4.65,0.282,0.358,7.68
劣Ⅵ类,31.2,7.8,13.53,833.2,24.9,8.94,0.354,0.469,2.75
Ⅲ类,34.6,8.21,8.85,409.1,20.7,4.49,0.191,0.09,3.58
Ⅴ类,30.4,7.51,2.61,379.7,17.4,4.0,0.416,0.132,2.16
Ⅲ类,31.6,7.66,6.35,294.2,24.8,4.65,0.151,0.067,1.21
Ⅱ类,29.0,8.19,9.6,314.7,34.5,2.53,0.125,0.093,1.75
Ⅲ类,31.8,7.53,5.49,514.9,22.7,2.48,0.124,0.118,2.28
Ⅴ类,31.0,7.08,2.68,610.1,31.6,4.81,0.517,0.153,1.97
Ⅳ类,30.5,7.19,3.16,596.6,32.8,3.38,0.101,0.1,0.92
Ⅴ类,31.2,7.43,2.48,569.4,77.7,4.54,0.416,0.206,2.75
Ⅲ类,32.3,7.5,5.35,478.6,36.6,5.57,0.988,0.161,2.21
Ⅴ类,31.1,7.25,2.95,611.4,32.7,4.77,0.373,0.279,3.25
劣Ⅵ类,30.0,7.31,2.19,928.9,96.2,7.69,1.864,0.456,3.85
Ⅳ类,29.1,7.68,4.74,302.5,61.2,1.82,0.021,0.074,1.29
Ⅴ类,29.2,7.54,2.65,384.8,36.7,2.64,0.152,0.125,2.08
Ⅴ类,31.1,7.46,2.51,899.4,61.4,3.07,0.046,0.194,2.1
劣Ⅵ类,28.2,7.32,0.48,890.5,32.8,5.96,1.42,0.367,2.98
劣Ⅵ类,29.5,7.42,1.71,959.3,27.4,7.28,0.935,0.445,3.87
Ⅴ类,31.7,7.85,10.6,731.9,10.4,6.9,1.67,0.185,6.01
Ⅳ类,28.2,7.38,3.7,845.9,50.2,5.64,0.568,0.209,2.75
劣Ⅵ类,29.2,7.34,1.0,1010.0,20.5,7.71,0.86,0.326,5.96
劣Ⅵ类,27.3,7.11,4.26,682.8,13.9,7.85,2.036,0.189,6.6
Ⅳ类,28.8,7.63,8.53,614.7,14.4,4.93,0.038,0.206,4.97
Ⅴ类,26.8,7.38,2.0,673.9,76.3,5.71,1.48,0.172,2.62
Ⅴ类,28.8,7.35,2.54,637.0,13.7,5.66,0.04,0.212,5.43
Ⅲ类,27.9,7.59,9.54,1204.3,44.0,4.35,0.262,0.13,6.3
Ⅳ类,28.1,8.72,14.34,3261.4,34.2,8.01,0.064,0.12,5.22
劣Ⅵ类,26.0,7.35,5.72,622.2,22.9,6.2,0.138,0.491,5.39
Ⅳ类,27.8,7.56,7.5,640.8,37.2,4.94,0.1,0.219,4.02
劣Ⅵ类,30.5,7.49,1.98,1009.8,17.7,7.08,1.288,0.301,4.92
Ⅳ类,28.3,7.67,3.1,540.5,13.1,6.76,1.066,0.259,6.65
Ⅲ类,30.5,7.55,5.13,351.8,53.1,3.99,0.144,0.118,2.18
Ⅳ类,28.6,7.13,3.36,399.2,36.0,7.63,1.289,0.131,3.86
Ⅴ类,26.8,7.15,2.41,566.1,46.9,4.63,0.399,0.165,2.43
Ⅴ类,27.9,7.29,2.82,494.2,111.8,5.49,0.842,0.226,1.69
劣Ⅵ类,28.1,7.35,1.62,859.4,72.8,6.9,1.239,0.227,3.68
Ⅳ类,29.3,7.28,3.49,661.5,15.3,4.78,0.026,0.179,1.95
Ⅴ类,28.0,7.17,2.31,532.2,36.1,8.2,1.823,0.238,3.94
Ⅳ类,29.5,7.41,4.73,693.5,67.0,3.56,0.046,0.168,2.33
劣Ⅵ类,28.5,7.33,1.87,442.7,11.6,3.64,0.136,0.131,1.58
劣Ⅵ类,30.0,7.46,1.74,656.6,16.4,7.82,1.82,0.241,4.29
劣Ⅵ类,29.5,7.26,0.34,605.8,15.5,6.46,0.416,0.173,2.53
Ⅴ类,28.0,7.26,2.01,882.6,28.0,8.93,1.196,0.215,4.22
Ⅴ类,28.5,7.41,2.52,759.8,20.3,8.81,1.558,0.334,3.49
劣Ⅵ类,26.4,7.15,0.57,816.1,24.6,7.06,1.385,0.3,4.05
劣Ⅵ类,29.0,7.14,0.82,786.9,16.8,7.57,0.609,0.301,3.24
Ⅲ类,30.2,8.06,6.44,766.9,23.6,3.44,0.036,0.106,1.38
劣Ⅵ类,27.5,7.36,0.25,1322.9,27.2,6.86,1.626,0.484,5.21
Ⅲ类,28.0,7.79,5.51,442.2,216.0,5.9,0.15,0.131,2.97
Ⅳ类,32.7,7.81,6.01,523.6,71.7,6.14,0.264,0.113,2.36
Ⅴ类,28.3,7.14,2.98,692.3,45.8,7.38,1.535,0.224,4.37
Ⅳ类,30.3,7.28,4.04,541.6,29.1,6.26,1.016,0.222,2.75
