水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅳ类,28.1,8.44,6.16,799.9,606.1,5.19,0.018,0.219,6.59
Ⅳ类,28.0,7.71,3.65,987.0,322.0,4.75,0.318,0.069,6.94
Ⅲ类,20.0,7.99,6.27,557.5,156.2,3.63,0.021,0.177,4.08
Ⅴ类,24.4,8.26,7.03,605.6,1881.2,4.5,0.016,0.327,3.53
Ⅲ类,26.5,8.2,6.9,676.7,58.3,3.45,0.214,0.161,5.53
Ⅱ类,23.6,8.54,8.98,681.6,43.2,3.47,0.003,0.059,5.63
Ⅳ类,27.0,7.7,4.29,721.3,59.1,4.38,0.405,0.159,3.55
Ⅴ类,24.3,8.61,9.56,1082.4,66.0,12.31,0.402,0.315,8.48
Ⅱ类,24.8,8.34,7.97,1054.1,82.0,1.73,0.069,0.029,1.12
Ⅳ类,24.9,8.59,6.71,2873.3,46.3,6.64,0.076,0.06,1.16
Ⅰ类,18.8,8.44,10.17,728.5,6.9,1.59,0.015,0.005,8.27
Ⅴ类,24.1,7.15,3.8,826.7,7.2,10.09,1.342,0.149,9.04
Ⅱ类,25.9,7.47,6.37,277.5,4.4,2.37,0.017,0.072,5.87
Ⅲ类,29.3,8.18,11.24,347.9,26.4,3.9,0.024,0.167,1.86
Ⅲ类,27.9,8.11,9.06,546.7,11.3,4.11,0.005,0.093,4.67
Ⅲ类,28.0,8.06,9.19,632.4,3.8,4.81,0.007,0.087,4.9
Ⅰ类,27.6,8.78,11.12,145.3,5.0,1.72,0.005,0.018,1.67
劣Ⅵ类,29.7,9.19,29.64,541.6,24.5,8.94,0.041,0.196,4.44
Ⅱ类,24.1,8.44,9.68,289.7,8.1,1.73,0.025,0.025,4.96
Ⅳ类,22.2,7.15,8.07,205.8,65.6,3.82,0.155,0.212,3.46
Ⅱ类,21.3,7.54,8.29,244.9,25.6,2.5,0.026,0.052,7.98
Ⅱ类,17.1,7.9,12.75,265.4,18.3,2.26,0.044,0.046,4.58
Ⅱ类,18.3,7.74,7.85,358.3,30.5,2.44,0.072,0.079,4.58
Ⅱ类,18.7,7.74,8.98,215.2,25.3,2.19,0.02,0.047,4.21
Ⅰ类,22.0,8.1,11.32,206.8,2.7,1.13,0.002,0.009,7.01
Ⅲ类,20.4,7.18,5.73,160.1,7.8,0.97,0.008,0.024,2.75
Ⅱ类,22.4,7.53,11.56,154.4,11.1,1.23,0.064,0.042,4.17
Ⅲ类,25.8,7.9,5.77,645.5,107.6,3.94,0.027,0.131,5.06
Ⅱ类,26.5,7.98,10.11,789.2,21.2,2.72,0.005,0.077,7.52
Ⅱ类,24.0,8.3,11.88,467.6,7.9,2.99,0.061,0.064,2.0
Ⅲ类,24.4,7.73,6.62,584.5,27.0,2.86,0.064,0.118,4.21
Ⅴ类,18.4,7.65,2.2,858.9,49.3,3.77,0.011,0.097,5.63
Ⅰ类,25.8,7.9,8.7,240.9,7.3,1.69,0.021,0.02,5.18
Ⅳ类,28.0,8.4,7.94,515.8,29.0,6.93,0.123,0.135,4.91
Ⅲ类,21.6,7.29,5.3,348.2,154.3,4.61,0.238,0.17,4.01
Ⅱ类,21.8,8.04,10.57,413.6,8.2,0.76,0.045,0.03,2.93
Ⅱ类,25.3,8.32,8.36,745.6,27.5,2.63,0.027,0.071,8.64
Ⅲ类,21.0,8.1,8.52,852.2,154.9,3.9,0.173,0.142,13.87
Ⅱ类,20.5,8.13,8.65,578.1,68.5,1.47,0.007,0.061,4.49
Ⅲ类,22.2,7.45,6.67,576.6,4.1,2.6,0.182,0.101,8.23
Ⅲ类,27.2,7.84,7.8,922.8,27.6,3.44,0.097,0.189,8.04
Ⅲ类,23.7,7.96,5.96,297.0,41.9,3.2,0.048,0.043,1.5
Ⅲ类,20.6,6.99,8.31,168.7,154.3,5.57,0.246,0.163,4.75
Ⅳ类,19.8,7.43,3.37,374.7,165.5,6.23,0.087,0.274,5.05
Ⅲ类,18.9,7.2,9.43,166.1,230.8,5.2,0.124,0.2,7.87
Ⅳ类,22.2,6.83,4.66,161.7,190.4,7.14,0.116,0.191,5.48
Ⅲ类,19.1,7.12,9.35,161.4,289.4,5.08,0.114,0.2,6.82
Ⅲ类,21.7,6.73,8.35,135.9,52.1,5.62,0.032,0.132,3.5
Ⅲ类,24.8,7.81,7.11,423.8,102.0,4.28,0.022,0.136,1.85
Ⅱ类,20.6,7.6,9.76,105.3,34.3,2.13,0.015,0.032,2.46
Ⅱ类,15.8,7.61,9.86,95.8,25.7,3.6,0.044,0.061,1.52
Ⅰ类,9.8,7.9,7.6,287.8,8.8,0.84,0.001,0.02,1.81
Ⅲ类,24.3,6.73,7.33,205.8,42.0,4.79,0.104,0.093,3.7
Ⅳ类,26.0,7.12,6.34,121.6,49.3,9.93,0.198,0.119,2.04
Ⅳ类,15.5,7.56,10.51,80.2,35.6,9.66,0.023,0.083,1.24
Ⅲ类,22.6,7.61,7.6,227.7,68.3,3.47,0.02,0.109,2.44
Ⅲ类,22.4,6.91,8.37,103.4,27.3,5.42,0.028,0.078,1.23
Ⅱ类,13.7,7.78,10.56,213.6,19.5,1.32,0.048,0.068,0.77
Ⅳ类,27.4,6.96,5.58,128.3,79.9,7.16,0.061,0.201,2.97
Ⅳ类,26.5,7.11,3.09,195.3,167.0,7.4,0.103,0.19,3.35
Ⅳ类,27.4,7.28,6.53,262.0,163.6,8.66,0.202,0.21,2.82
Ⅳ类,27.7,7.17,3.3,195.2,108.1,5.61,0.121,0.09,5.9
Ⅳ类,23.1,7.3,7.89,98.3,132.0,8.1,0.021,0.082,1.14
Ⅴ类,25.7,7.35,6.06,96.6,263.2,12.95,0.01,0.238,0.78
Ⅳ类,28.6,6.76,4.9,177.2,239.1,9.04,0.176,0.161,2.12
Ⅲ类,24.0,8.09,11.18,254.8,17.7,5.81,0.022,0.077,1.12
Ⅳ类,29.5,7.13,6.62,100.1,35.1,8.63,0.099,0.154,0.86
Ⅴ类,24.8,7.58,8.35,98.5,46.9,12.01,0.049,0.049,0.48
Ⅳ类,29.8,7.6,6.58,252.7,51.9,7.02,0.089,0.168,1.0
Ⅴ类,24.1,7.3,8.69,91.1,14.0,11.26,0.018,0.055,1.56
Ⅴ类,26.8,8.15,8.96,98.5,40.0,12.78,0.011,0.117,0.87
Ⅲ类,24.3,7.13,7.97,124.3,16.8,4.04,0.008,0.061,2.78
Ⅳ类,24.5,7.18,6.36,179.8,197.7,7.1,0.072,0.174,3.49
Ⅳ类,23.9,6.98,7.88,88.6,13.8,7.61,0.007,0.06,2.29
Ⅲ类,27.5,6.83,5.87,192.1,75.2,5.67,0.038,0.172,3.18
Ⅳ类,25.9,7.34,7.1,77.8,26.3,9.14,0.054,0.043,0.81
Ⅳ类,25.6,6.83,7.16,169.8,70.1,6.12,0.146,0.089,2.48
Ⅳ类,21.8,6.98,5.48,122.3,101.4,5.49,0.086,0.1,2.91
Ⅳ类,18.4,7.19,8.5,59.3,7.9,8.35,0.024,0.028,0.32
劣Ⅵ类,31.9,7.37,1.08,499.0,435.1,4.62,0.917,0.274,3.24
Ⅳ类,31.3,7.22,3.35,519.3,32.8,4.56,0.32,0.191,2.54
Ⅴ类,31.9,7.54,2.87,540.8,129.1,3.95,0.018,0.163,2.13
劣Ⅵ类,31.4,7.34,1.46,553.2,69.3,3.64,0.259,0.176,3.0
Ⅳ类,33.1,7.36,3.19,485.8,41.6,3.34,0.004,0.103,1.75
Ⅴ类,30.0,7.4,2.34,532.9,34.3,2.59,0.082,0.11,2.39
劣Ⅵ类,31.0,7.25,1.69,514.8,93.9,3.62,0.489,0.183,3.08
Ⅴ类,30.7,7.21,2.32,481.4,38.3,3.89,0.497,0.229,2.29
Ⅳ类,32.1,7.6,3.15,427.7,49.8,3.08,0.611,0.138,1.96
Ⅳ类,31.3,7.42,3.6,527.9,15.4,3.31,0.037,0.097,1.93
Ⅴ类,32.1,7.26,2.87,388.5,23.9,3.57,0.088,0.076,1.72
Ⅴ类,31.8,7.53,2.82,567.4,46.8,4.16,0.165,0.174,2.01
Ⅲ类,28.3,7.52,5.38,562.7,102.1,4.52,0.079,0.119,1.44
Ⅲ类,31.4,7.71,5.65,368.4,30.7,2.61,0.039,0.105,1.37
Ⅳ类,25.0,7.4,4.36,383.9,12.6,5.11,0.593,0.099,1.67
劣Ⅵ类,29.6,7.01,0.63,444.5,37.7,5.29,0.894,0.162,2.15
劣Ⅵ类,29.1,7.27,0.41,424.3,12.4,5.0,1.138,0.163,2.96
Ⅲ类,32.3,8.45,7.04,444.9,23.7,2.0,0.026,0.03,0.5
Ⅳ类,31.2,8.61,7.11,426.8,48.5,3.42,0.055,0.071,0.89
Ⅳ类,32.5,8.21,3.86,521.1,29.4,4.71,0.495,0.07,1.07
Ⅴ类,31.6,7.38,2.86,449.7,50.7,3.96,0.102,0.135,2.4
Ⅴ类,31.4,7.32,2.05,451.9,56.8,5.13,0.056,0.124,1.82
Ⅳ类,32.2,7.11,4.71,390.0,38.5,2.33,0.122,0.142,2.4
Ⅲ类,32.5,8.89,8.54,437.3,15.5,3.03,0.006,0.045,0.64
Ⅱ类,34.1,7.75,6.62,359.1,37.5,2.0,0.078,0.067,1.79
Ⅱ类,29.0,7.13,7.4,152.4,1.7,2.23,0.034,0.025,2.2
Ⅴ类,31.4,7.06,2.8,374.6,28.7,3.93,0.119,0.092,2.43
Ⅲ类,29.5,7.71,5.68,287.6,38.3,2.01,0.26,0.114,2.0
Ⅲ类,32.3,8.08,6.46,493.2,23.3,3.43,0.231,0.114,1.43
劣Ⅵ类,28.0,9.01,20.06,400.0,13.4,5.0,0.011,0.171,4.81
Ⅳ类,28.2,7.23,4.17,665.2,15.4,3.66,0.416,0.224,6.81
劣Ⅵ类,29.9,7.52,1.51,1329.6,25.1,5.82,0.035,0.1,1.56
Ⅲ类,29.6,8.66,10.26,1385.3,1.6,4.89,0.014,0.058,0.6
Ⅲ类,29.7,8.64,10.4,1180.5,6.4,4.99,0.01,0.051,0.75
Ⅳ类,30.4,8.0,6.6,1439.7,14.1,6.74,0.071,0.088,1.16
Ⅳ类,28.5,7.54,4.68,1039.2,8.0,2.99,0.128,0.125,2.7
Ⅴ类,29.2,7.28,2.34,454.9,30.2,5.82,0.685,0.214,3.09
Ⅴ类,27.1,7.6,5.15,822.8,38.9,4.66,0.306,0.359,7.44
劣Ⅵ类,29.6,7.37,4.99,842.7,20.8,8.9,0.492,0.481,2.8
Ⅲ类,33.1,7.64,6.69,409.5,19.2,4.46,0.225,0.086,3.7
Ⅳ类,29.8,7.53,3.16,374.7,24.8,3.46,0.371,0.132,2.04
Ⅲ类,31.5,7.63,5.87,292.4,18.7,4.57,0.182,0.07,1.33
Ⅲ类,27.9,7.79,5.44,315.1,26.5,2.54,0.197,0.093,1.88
Ⅲ类,31.2,7.6,6.13,506.4,24.1,2.47,0.102,0.121,2.4
Ⅴ类,30.3,7.04,2.09,578.5,31.8,4.73,0.441,0.151,1.98
Ⅴ类,29.6,7.18,2.95,598.2,34.4,3.48,0.164,0.109,1.05
劣Ⅵ类,31.2,7.34,1.89,569.3,109.8,3.89,0.3,0.167,2.48
Ⅴ类,31.2,7.32,2.06,478.0,25.8,5.43,1.064,0.147,2.08
Ⅴ类,30.5,7.21,2.69,610.4,38.8,3.94,0.396,0.197,2.83
Ⅴ类,29.6,7.33,2.25,884.0,96.6,7.23,1.4,0.397,3.2
Ⅲ类,29.1,7.71,5.11,311.4,48.3,1.77,0.016,0.067,1.32
Ⅳ类,29.3,7.66,4.17,380.7,40.4,2.66,0.18,0.134,21.16
Ⅴ类,30.0,7.45,2.54,479.0,57.1,2.88,0.033,0.19,2.16
劣Ⅵ类,27.7,7.3,0.23,887.3,26.0,6.79,1.384,0.399,3.08
劣Ⅵ类,29.1,7.43,1.37,948.6,43.4,7.15,0.95,0.398,3.59
Ⅴ类,28.3,7.28,4.71,727.2,13.8,6.57,1.861,0.201,5.99
Ⅳ类,27.6,7.36,3.34,832.2,69.3,6.46,1.091,0.239,3.31
劣Ⅵ类,28.2,7.36,0.8,1015.3,21.5,7.52,0.972,0.309,5.9
劣Ⅵ类,27.0,7.09,3.27,701.4,14.1,8.95,3.45,0.217,7.06
Ⅳ类,27.6,7.51,6.27,619.7,13.9,5.37,0.033,0.207,5.0
Ⅴ类,26.3,7.38,2.84,667.7,111.3,5.51,1.863,0.173,3.32
Ⅴ类,27.5,7.31,2.05,631.9,16.0,5.34,0.12,0.2,4.97
Ⅲ类,26.8,7.54,10.2,1242.7,46.2,4.42,0.301,0.128,5.26
Ⅳ类,27.3,8.69,14.03,3074.8,26.6,6.49,0.135,0.139,5.05
劣Ⅵ类,26.0,7.33,5.83,625.6,20.6,6.36,0.324,0.5,5.41
Ⅳ类,27.6,8.03,9.66,440.1,16.6,6.36,0.012,0.097,2.8
Ⅳ类,26.6,7.44,6.39,622.7,42.5,4.87,0.131,0.232,3.94
劣Ⅵ类,28.8,7.46,0.95,1017.5,20.5,7.31,1.42,0.298,5.4
Ⅴ类,27.7,7.52,2.41,538.0,14.9,6.84,1.328,0.272,6.72
Ⅳ类,29.6,7.5,4.84,356.8,52.0,4.05,0.147,0.12,2.17
Ⅴ类,28.0,7.1,2.79,395.2,28.6,7.58,1.336,0.137,3.92
Ⅳ类,26.4,7.24,3.3,574.8,42.8,4.34,0.399,0.155,2.33
Ⅴ类,27.4,7.31,2.72,491.6,125.5,5.35,0.964,0.229,1.76
劣Ⅵ类,27.6,7.36,1.97,850.3,89.6,6.86,1.186,0.229,3.58
Ⅴ类,29.0,7.25,2.33,689.5,14.9,5.33,0.014,0.19,1.99
Ⅴ类,27.7,7.17,2.37,593.0,34.7,8.04,1.647,0.244,3.82
Ⅲ类,29.2,7.43,5.01,696.8,68.6,3.54,0.04,0.148,2.06
Ⅴ类,28.5,7.33,2.06,446.1,14.6,3.7,0.141,0.134,1.56
劣Ⅵ类,29.4,7.44,0.99,647.9,11.9,7.66,1.821,0.243,4.31
劣Ⅵ类,29.3,7.24,0.23,612.6,16.4,5.42,0.308,0.168,2.58
