水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,24.8,8.16,11.34,491.8,23.0,3.1,0.062,0.027,3.93
Ⅱ类,27.2,7.98,7.4,436.2,15.3,3.11,0.05,0.034,3.04
Ⅲ类,27.9,7.54,9.26,761.7,9.8,4.19,0.068,0.075,4.98
劣Ⅵ类,29.3,7.5,3.53,750.4,4.0,8.59,4.311,0.458,9.61
Ⅱ类,26.2,8.06,11.54,800.7,15.3,3.02,0.01,0.07,6.16
Ⅲ类,24.7,8.36,14.58,764.4,21.6,2.84,0.04,0.102,6.84
Ⅱ类,23.3,7.93,10.17,468.0,4.8,3.63,0.058,0.018,3.88
Ⅲ类,30.7,7.88,8.88,803.0,15.1,5.33,0.034,0.07,3.23
Ⅲ类,30.8,8.09,11.97,1097.5,7.3,3.53,0.016,0.135,5.38
Ⅲ类,32.1,8.13,12.51,1229.1,13.6,4.11,0.01,0.132,5.92
Ⅲ类,25.6,7.22,5.47,547.1,24.4,3.4,0.084,0.115,7.94
Ⅱ类,28.8,8.09,9.6,391.1,4.8,2.21,0.068,0.009,3.49
Ⅲ类,27.9,8.38,11.18,417.9,61.0,4.04,0.219,0.045,4.66
Ⅱ类,29.3,8.35,19.86,528.6,6.5,3.34,0.169,0.044,2.87
Ⅴ类,30.3,7.7,2.69,1029.8,18.8,3.81,0.532,0.104,0.91
Ⅲ类,30.4,7.72,5.71,1209.3,27.4,5.02,0.34,0.181,2.42
Ⅴ类,30.4,7.62,2.99,885.2,41.0,3.66,0.862,0.149,2.31
劣Ⅵ类,30.4,7.35,0.8,1042.1,13.5,4.07,0.709,0.087,2.46
Ⅱ类,31.4,7.77,6.96,269.0,1.4,1.49,0.05,0.006,0.86
劣Ⅵ类,26.8,7.43,0.01,878.7,34.3,4.11,1.587,0.172,2.5
Ⅳ类,26.7,7.63,4.23,606.2,48.9,3.86,0.167,0.186,5.48
Ⅲ类,29.3,8.19,9.5,1904.5,15.6,5.44,0.275,0.189,2.69
Ⅲ类,18.9,8.4,6.02,2046.4,35.2,4.76,0.014,0.068,0.83
Ⅳ类,29.9,7.89,4.84,4036.2,1251.7,8.69,0.113,0.266,2.05
Ⅲ类,28.3,8.27,6.49,1620.0,35.4,5.52,0.023,0.127,1.18
Ⅴ类,30.3,7.02,2.6,749.1,39.8,5.84,0.501,0.211,2.35
Ⅳ类,24.2,8.59,11.38,6566.2,130.1,8.32,0.076,0.25,1.35
Ⅲ类,26.3,8.17,9.27,367.1,13.6,5.84,0.101,0.052,3.66
