省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L)
北京市,海河流域,鼓楼外大街,07-22 02:00,Ⅲ类,24.0,7.76,5.36,493.3,12.8,3.04,0.067,0.030,3.71,--,--
北京市,海河流域,广北滨河路,07-22 02:00,Ⅱ类,25.6,7.99,7.09,444.2,20.7,3.43,0.025,0.036,3.30,--,--
北京市,海河流域,沙窝,07-22 02:00,Ⅲ类,28.0,7.37,9.12,814.5,7.2,4.52,0.066,0.069,5.31,--,--
北京市,海河流域,新八里桥,07-22 02:00,劣Ⅵ类,27.5,7.26,1.93,714.8,3.4,4.75,0.429,0.172,6.78,--,--
北京市,海河流域,大红门闸上,07-22 02:00,Ⅲ类,24.8,7.59,5.14,787.1,10.3,2.80,0.022,0.064,6.61,--,--
北京市,海河流域,南大荒桥,07-22 02:00,Ⅲ类,27.3,8.54,7.41,759.5,25.0,4.15,--,0.047,2.42,--,--
北京市,海河流域,清河闸,07-22 02:00,Ⅱ类,22.6,7.70,6.17,843.1,4.0,2.15,--,0.049,6.56,--,--
北京市,海河流域,花园路,07-22 02:00,Ⅲ类,22.6,7.63,5.45,812.6,20.9,2.57,0.064,0.087,6.79,--,--
北京市,海河流域,白石桥,07-22 02:00,Ⅱ类,22.8,7.84,8.51,468.7,3.7,3.48,0.053,0.015,3.95,--,--
北京市,海河流域,八间房漫水桥,07-22 02:00,Ⅱ类,29.6,7.62,6.17,795.8,12.6,3.23,0.036,0.058,2.97,--,--
北京市,海河流域,罗庄,07-22 02:00,Ⅳ类,29.8,7.62,3.43,1111.8,5.4,3.21,0.004,0.125,5.73,--,--
北京市,海河流域,小屯桥,07-22 02:00,Ⅲ类,30.9,7.81,5.66,1220.4,18.7,4.14,0.045,0.140,5.99,--,--
北京市,海河流域,东店,07-22 02:00,Ⅳ类,24.7,7.17,4.66,588.7,23.9,3.04,0.062,0.109,9.37,--,--
北京市,海河流域,密云水库,07-22 02:00,Ⅱ类,28.0,8.19,9.54,389.3,3.1,2.11,0.049,0.007,3.59,--,--
北京市,海河流域,大关桥,07-22 02:00,Ⅲ类,27.5,8.31,10.14,417.1,34.6,4.08,0.205,0.048,4.54,--,--
北京市,海河流域,辛庄桥,07-22 02:00,Ⅱ类,24.7,8.21,7.91,543.4,79.5,3.25,--,0.064,7.82,--,--
北京市,海河流域,谷家营,07-22 02:00,Ⅱ类,28.1,8.16,12.53,529.5,5.6,3.05,0.200,0.041,2.91,--,--
北京市,海河流域,后城,07-22 02:00,劣Ⅵ类,20.5,8.41,8.53,475.9,3503.9,20.19,--,--,38.77,--,--
天津市,海河流域,三岔口,07-22 01:00,Ⅴ类,30.0,7.66,2.22,1083.6,17.4,3.88,0.699,0.101,1.23,--,--
天津市,海河流域,北洋桥,07-22 02:00,Ⅲ类,29.7,7.66,5.03,1242.5,21.3,5.27,0.720,0.193,2.93,--,--
天津市,海河流域,井冈山桥,07-22 02:00,Ⅴ类,29.8,7.56,2.41,1016.7,45.1,4.50,0.810,0.133,2.20,--,--
天津市,海河流域,大红桥,07-22 02:00,劣Ⅵ类,29.8,7.29,0.09,1082.2,10.2,3.86,0.600,0.079,2.30,--,--
天津市,海河流域,曹庄子泵站,07-22 02:00,Ⅱ类,30.8,7.68,6.28,271.2,1.6,1.55,0.051,0.006,0.86,--,--
天津市,海河流域,生产圈闸,07-22 02:00,劣Ⅵ类,28.0,7.44,0.01,981.8,33.1,3.67,1.079,0.129,2.28,--,--
天津市,海河流域,尔王庄泵站,07-22 02:00,Ⅱ类,30.6,8.10,7.86,260.1,5.8,2.06,--,0.012,0.74,--,--
天津市,海河流域,塘汉公路桥,07-22 02:00,Ⅳ类,26.3,7.55,3.36,715.5,62.3,3.28,0.001,0.139,4.85,--,--
天津市,海河流域,海河大闸,07-22 02:00,Ⅳ类,28.8,7.69,3.98,1810.7,16.8,5.16,0.415,0.197,2.82,--,--
天津市,海河流域,北排水河防潮闸,07-22 02:00,Ⅳ类,18.8,8.47,4.97,2029.5,37.9,4.51,0.009,0.063,0.74,--,--
天津市,海河流域,沧浪渠出境,07-22 02:00,Ⅳ类,28.3,7.76,3.86,4594.8,928.8,6.58,0.029,0.187,2.51,--,--
天津市,海河流域,万家码头,07-22 02:00,Ⅳ类,28.6,7.97,4.76,1566.7,26.7,4.72,0.133,0.119,1.15,--,--
天津市,海河流域,蓟运河防潮闸,07-22 02:00,Ⅴ类,30.0,7.01,2.56,827.4,60.8,4.86,0.552,0.187,2.26,--,--
天津市,海河流域,青静黄防潮闸,07-22 02:00,Ⅳ类,22.7,8.33,10.57,6518.7,259.4,8.55,0.024,0.194,1.25,--,--
天津市,海河流域,阎辛庄,07-22 02:00,劣Ⅵ类,20.1,7.30,1.96,1158.4,56.9,2.85,0.029,0.089,2.89,--,--
天津市,海河流域,于桥水库库中心,07-22 02:00,Ⅲ类,29.8,9.00,13.30,404.3,30.4,5.55,0.001,0.040,3.06,0.036,15372720
天津市,海河流域,于桥水库出口,07-22 02:00,Ⅲ类,25.9,7.99,8.16,363.2,14.7,4.75,0.174,0.052,3.85,--,--
天津市,海河流域,黎河桥,07-22 02:00,Ⅲ类,24.2,7.69,7.97,727.9,16.0,3.05,0.199,0.150,10.61,--,--
天津市,海河流域,沙河桥,07-22 02:00,Ⅱ类,24.3,7.59,6.48,518.4,32.9,1.39,0.214,0.086,8.22,--,--
